Origin,Destination,Time
Airport,Yau Tong,54 mins
Airport,Tiu Keng Leng,58 mins
Airport,Tseung Kwan O,60 mins
Airport,Hang Hau,62 mins
Airport,Po Lam,64 mins
Airport,Nam Cheong,28 mins
Airport,Sunny Bay,28 mins
Airport,Disneyland Resort,35 mins
Airport,AsiaWorld-Expo,2 mins
Airport,LOHAS Park,65 mins
Airport,Hung Hom,41 mins
Airport,Mong Kok East,47 mins
Airport,Tai Wai,51 mins
Airport,Sha Tin,54 mins
Airport,Fo Tan,56 mins
Airport,Racecourse,61 mins
Airport,University,59 mins
Airport,Tai Po Market,65 mins
Airport,Tai Wo,67 mins
Airport,Fanling,72 mins
Airport,Sheung Shui,74 mins
Airport,Lo Wu,78 mins
Airport,Lok Ma Chau,84 mins
Airport,East Tsim Sha Tsui,38 mins
Airport,Sai Ying Pun,38 mins
Airport,HKU,39 mins
Airport,Kennedy Town,41 mins
Airport,Ho Man Tin,43 mins
Airport,Whampoa,47 mins
Airport,Ocean Park,45 mins
Airport,Wong Chuk Hang,47 mins
Airport,Lei Tung,50 mins
Airport,South Horizons,51 mins
Airport,Hin Keng,56 mins
Airport,Kai Tak,49 mins
Airport,Sung Wong Toi,47 mins
Airport,To Kwa Wan,45 mins
Airport,Exhibition Centre,43 mins
Airport,Che Kung Temple,58 mins
Airport,Sha Tin Wai,60 mins
Airport,City One,62 mins
Airport,Shek Mun,63 mins
Airport,Tai Shui Hang,67 mins
Airport,Heng On,69 mins
Airport,Ma On Shan,71 mins
Airport,Wu Kai Sha,73 mins
Airport,Austin,35 mins
Airport,Tsuen Wan West,37 mins
Airport,Kam Sheung Road,43 mins
Airport,Yuen Long,47 mins
Airport,Long Ping,49 mins
Airport,Tin Shui Wai,51 mins
Airport,Siu Hong,56 mins
Airport,Tuen Mun,58 mins
Airport,Hong Kong West Kowloon,32 mins
