Origin,Destination,Time
AsiaWorld-Expo,LOHAS Park,69 mins
AsiaWorld-Expo,Hung Hom,44 mins
AsiaWorld-Expo,Mong Kok East,51 mins
AsiaWorld-Expo,Tai Wai,55 mins
AsiaWorld-Expo,Sha Tin,57 mins
AsiaWorld-Expo,Fo Tan,60 mins
AsiaWorld-Expo,Racecourse,64 mins
AsiaWorld-Expo,University,63 mins
AsiaWorld-Expo,Tai Po Market,68 mins
AsiaWorld-Expo,Tai Wo,71 mins
AsiaWorld-Expo,Fanling,75 mins
AsiaWorld-Expo,Sheung Shui,77 mins
AsiaWorld-Expo,Lo Wu,82 mins
AsiaWorld-Expo,Lok Ma Chau,87 mins
AsiaWorld-Expo,East Tsim Sha Tsui,42 mins
AsiaWorld-Expo,Sai Ying Pun,42 mins
AsiaWorld-Expo,HKU,43 mins
AsiaWorld-Expo,Kennedy Town,44 mins
AsiaWorld-Expo,Ho Man Tin,46 mins
AsiaWorld-Expo,Whampoa,50 mins
AsiaWorld-Expo,Ocean Park,49 mins
AsiaWorld-Expo,Wong Chuk Hang,51 mins
AsiaWorld-Expo,Lei Tung,53 mins
AsiaWorld-Expo,South Horizons,55 mins
AsiaWorld-Expo,Hin Keng,60 mins
AsiaWorld-Expo,Kai Tak,53 mins
AsiaWorld-Expo,Sung Wong Toi,51 mins
AsiaWorld-Expo,To Kwa Wan,49 mins
AsiaWorld-Expo,Exhibition Centre,46 mins
AsiaWorld-Expo,Che Kung Temple,61 mins
AsiaWorld-Expo,Sha Tin Wai,63 mins
AsiaWorld-Expo,City One,65 mins
AsiaWorld-Expo,Shek Mun,67 mins
AsiaWorld-Expo,Tai Shui Hang,70 mins
AsiaWorld-Expo,Heng On,72 mins
AsiaWorld-Expo,Ma On Shan,75 mins
AsiaWorld-Expo,Wu Kai Sha,77 mins
AsiaWorld-Expo,Austin,39 mins
AsiaWorld-Expo,Tsuen Wan West,41 mins
AsiaWorld-Expo,Kam Sheung Road,47 mins
AsiaWorld-Expo,Yuen Long,50 mins
AsiaWorld-Expo,Long Ping,52 mins
AsiaWorld-Expo,Tin Shui Wai,55 mins
AsiaWorld-Expo,Siu Hong,60 mins
AsiaWorld-Expo,Tuen Mun,62 mins
AsiaWorld-Expo,Hong Kong West Kowloon,36 mins
