Origin,Destination,Time
Chai Wan,Lam Tin,23 mins
Chai Wan,Hong Kong,32 mins
Chai Wan,Kowloon,36 mins
Chai Wan,Olympic,39 mins
Chai Wan,Tsing Yi,48 mins
Chai Wan,Tung Chung,62 mins
Chai Wan,Airport,58 mins
Chai Wan,Yau Tong,20 mins
Chai Wan,Tiu Keng Leng,23 mins
Chai Wan,Tseung Kwan O,25 mins
Chai Wan,Hang Hau,28 mins
Chai Wan,Po Lam,29 mins
Chai Wan,Nam Cheong,41 mins
Chai Wan,Sunny Bay,56 mins
Chai Wan,Disneyland Resort,62 mins
Chai Wan,AsiaWorld-Expo,61 mins
Chai Wan,LOHAS Park,31 mins
Chai Wan,Hung Hom,32 mins
Chai Wan,Mong Kok East,36 mins
Chai Wan,Tai Wai,43 mins
Chai Wan,Sha Tin,45 mins
Chai Wan,Fo Tan,47 mins
Chai Wan,Racecourse,52 mins
Chai Wan,University,51 mins
Chai Wan,Tai Po Market,56 mins
Chai Wan,Tai Wo,58 mins
Chai Wan,Fanling,63 mins
Chai Wan,Sheung Shui,65 mins
Chai Wan,Lo Wu,69 mins
Chai Wan,Lok Ma Chau,75 mins
Chai Wan,East Tsim Sha Tsui,37 mins
Chai Wan,Sai Ying Pun,28 mins
Chai Wan,HKU,30 mins
Chai Wan,Kennedy Town,31 mins
Chai Wan,Ho Man Tin,36 mins
Chai Wan,Whampoa,38 mins
Chai Wan,Ocean Park,32 mins
Chai Wan,Wong Chuk Hang,33 mins
Chai Wan,Lei Tung,36 mins
Chai Wan,South Horizons,38 mins
Chai Wan,Hin Keng,43 mins
Chai Wan,Kai Tak,41 mins
Chai Wan,Sung Wong Toi,41 mins
Chai Wan,To Kwa Wan,39 mins
Chai Wan,Exhibition Centre,29 mins
Chai Wan,Che Kung Temple,47 mins
Chai Wan,Sha Tin Wai,49 mins
Chai Wan,City One,51 mins
Chai Wan,Shek Mun,53 mins
Chai Wan,Tai Shui Hang,57 mins
Chai Wan,Heng On,59 mins
Chai Wan,Ma On Shan,61 mins
Chai Wan,Wu Kai Sha,63 mins
Chai Wan,Austin,40 mins
Chai Wan,Tsuen Wan West,51 mins
Chai Wan,Kam Sheung Road,57 mins
Chai Wan,Yuen Long,60 mins
Chai Wan,Long Ping,62 mins
Chai Wan,Tin Shui Wai,65 mins
Chai Wan,Siu Hong,69 mins
Chai Wan,Tuen Mun,72 mins
Chai Wan,Hong Kong West Kowloon,44 mins
