Origin,Destination,Time
Cheung Sha Wan,Lai Chi Kok,3 mins
Cheung Sha Wan,Mei Foo,5 mins
Cheung Sha Wan,Lai King,8 mins
Cheung Sha Wan,Kwai Fong,10 mins
Cheung Sha Wan,Kwai Hing,12 mins
Cheung Sha Wan,Tai Wo Hau,14 mins
Cheung Sha Wan,Tsuen Wan,16 mins
Cheung Sha Wan,Sheung Wan,23 mins
Cheung Sha Wan,Wan Chai,19 mins
Cheung Sha Wan,Causeway Bay,22 mins
Cheung Sha Wan,Tin Hau,24 mins
Cheung Sha Wan,Fortress Hill,25 mins
Cheung Sha Wan,North Point,27 mins
Cheung Sha Wan,Quarry Bay,29 mins
Cheung Sha Wan,Tai Koo,31 mins
Cheung Sha Wan,Sai Wan Ho,33 mins
Cheung Sha Wan,Shau Kei Wan,35 mins
Cheung Sha Wan,Heng Fa Chuen,37 mins
Cheung Sha Wan,Chai Wan,39 mins
Cheung Sha Wan,Lam Tin,27 mins
Cheung Sha Wan,Hong Kong,23 mins
Cheung Sha Wan,Kowloon,20 mins
Cheung Sha Wan,Olympic,17 mins
Cheung Sha Wan,Tsing Yi,13 mins
Cheung Sha Wan,Tung Chung,28 mins
Cheung Sha Wan,Airport,32 mins
Cheung Sha Wan,Yau Tong,29 mins
Cheung Sha Wan,Tiu Keng Leng,32 mins
Cheung Sha Wan,Tseung Kwan O,35 mins
Cheung Sha Wan,Hang Hau,38 mins
Cheung Sha Wan,Po Lam,40 mins
Cheung Sha Wan,Nam Cheong,15 mins
Cheung Sha Wan,Sunny Bay,21 mins
Cheung Sha Wan,Disneyland Resort,28 mins
Cheung Sha Wan,AsiaWorld-Expo,36 mins
Cheung Sha Wan,LOHAS Park,41 mins
Cheung Sha Wan,Hung Hom,18 mins
Cheung Sha Wan,Mong Kok East,19 mins
Cheung Sha Wan,Tai Wai,20 mins
Cheung Sha Wan,Sha Tin,22 mins
Cheung Sha Wan,Fo Tan,25 mins
Cheung Sha Wan,Racecourse,29 mins
Cheung Sha Wan,University,28 mins
Cheung Sha Wan,Tai Po Market,33 mins
Cheung Sha Wan,Tai Wo,36 mins
Cheung Sha Wan,Fanling,40 mins
Cheung Sha Wan,Sheung Shui,42 mins
Cheung Sha Wan,Lo Wu,47 mins
Cheung Sha Wan,Lok Ma Chau,52 mins
Cheung Sha Wan,East Tsim Sha Tsui,21 mins
Cheung Sha Wan,Sai Ying Pun,24 mins
Cheung Sha Wan,HKU,26 mins
Cheung Sha Wan,Kennedy Town,27 mins
Cheung Sha Wan,Ho Man Tin,13 mins
Cheung Sha Wan,Whampoa,15 mins
Cheung Sha Wan,Ocean Park,25 mins
Cheung Sha Wan,Wong Chuk Hang,27 mins
Cheung Sha Wan,Lei Tung,29 mins
Cheung Sha Wan,South Horizons,31 mins
Cheung Sha Wan,Hin Keng,26 mins
Cheung Sha Wan,Kai Tak,22 mins
Cheung Sha Wan,Sung Wong Toi,20 mins
Cheung Sha Wan,To Kwa Wan,18 mins
Cheung Sha Wan,Exhibition Centre,22 mins
Cheung Sha Wan,Che Kung Temple,26 mins
Cheung Sha Wan,Sha Tin Wai,28 mins
Cheung Sha Wan,City One,30 mins
Cheung Sha Wan,Shek Mun,32 mins
Cheung Sha Wan,Tai Shui Hang,35 mins
Cheung Sha Wan,Heng On,37 mins
Cheung Sha Wan,Ma On Shan,40 mins
Cheung Sha Wan,Wu Kai Sha,42 mins
Cheung Sha Wan,Austin,20 mins
Cheung Sha Wan,Tsuen Wan West,19 mins
Cheung Sha Wan,Kam Sheung Road,25 mins
Cheung Sha Wan,Yuen Long,28 mins
Cheung Sha Wan,Long Ping,30 mins
Cheung Sha Wan,Tin Shui Wai,33 mins
Cheung Sha Wan,Siu Hong,37 mins
Cheung Sha Wan,Tuen Mun,40 mins
Cheung Sha Wan,Hong Kong West Kowloon,24 mins
