Origin,Destination,Time
Choi Hung,Kowloon Bay,4 mins
Choi Hung,Ngau Tau Kok,6 mins
Choi Hung,Kwun Tong,8 mins
Choi Hung,Prince Edward,13 mins
Choi Hung,Sham Shui Po,17 mins
Choi Hung,Cheung Sha Wan,19 mins
Choi Hung,Lai Chi Kok,20 mins
Choi Hung,Mei Foo,22 mins
Choi Hung,Lai King,25 mins
Choi Hung,Kwai Fong,27 mins
Choi Hung,Kwai Hing,29 mins
Choi Hung,Tai Wo Hau,31 mins
Choi Hung,Tsuen Wan,33 mins
Choi Hung,Sheung Wan,32 mins
Choi Hung,Wan Chai,29 mins
Choi Hung,Causeway Bay,27 mins
Choi Hung,Tin Hau,25 mins
Choi Hung,Fortress Hill,23 mins
Choi Hung,North Point,19 mins
Choi Hung,Quarry Bay,17 mins
Choi Hung,Tai Koo,24 mins
Choi Hung,Sai Wan Ho,25 mins
Choi Hung,Shau Kei Wan,27 mins
Choi Hung,Heng Fa Chuen,29 mins
Choi Hung,Chai Wan,32 mins
Choi Hung,Lam Tin,9 mins
Choi Hung,Hong Kong,36 mins
Choi Hung,Kowloon,34 mins
Choi Hung,Olympic,32 mins
Choi Hung,Tsing Yi,31 mins
Choi Hung,Tung Chung,45 mins
Choi Hung,Airport,50 mins
Choi Hung,Yau Tong,12 mins
Choi Hung,Tiu Keng Leng,15 mins
Choi Hung,Tseung Kwan O,18 mins
Choi Hung,Hang Hau,21 mins
Choi Hung,Po Lam,22 mins
Choi Hung,Nam Cheong,27 mins
Choi Hung,Sunny Bay,39 mins
Choi Hung,Disneyland Resort,45 mins
Choi Hung,AsiaWorld-Expo,54 mins
Choi Hung,LOHAS Park,24 mins
Choi Hung,Hung Hom,19 mins
Choi Hung,Mong Kok East,17 mins
Choi Hung,Tai Wai,15 mins
Choi Hung,Sha Tin,21 mins
Choi Hung,Fo Tan,23 mins
Choi Hung,Racecourse,28 mins
Choi Hung,University,27 mins
Choi Hung,Tai Po Market,32 mins
Choi Hung,Tai Wo,34 mins
Choi Hung,Fanling,39 mins
Choi Hung,Sheung Shui,41 mins
Choi Hung,Lo Wu,45 mins
Choi Hung,Lok Ma Chau,51 mins
Choi Hung,East Tsim Sha Tsui,22 mins
Choi Hung,Sai Ying Pun,34 mins
Choi Hung,HKU,35 mins
Choi Hung,Kennedy Town,37 mins
Choi Hung,Ho Man Tin,17 mins
Choi Hung,Whampoa,22 mins
Choi Hung,Ocean Park,33 mins
Choi Hung,Wong Chuk Hang,35 mins
Choi Hung,Lei Tung,38 mins
Choi Hung,South Horizons,39 mins
Choi Hung,Hin Keng,12 mins
Choi Hung,Kai Tak,10 mins
Choi Hung,Sung Wong Toi,12 mins
Choi Hung,To Kwa Wan,14 mins
Choi Hung,Exhibition Centre,24 mins
Choi Hung,Che Kung Temple,17 mins
Choi Hung,Sha Tin Wai,19 mins
Choi Hung,City One,21 mins
Choi Hung,Shek Mun,23 mins
Choi Hung,Tai Shui Hang,26 mins
Choi Hung,Heng On,28 mins
Choi Hung,Ma On Shan,30 mins
Choi Hung,Wu Kai Sha,33 mins
Choi Hung,Austin,24 mins
Choi Hung,Tsuen Wan West,35 mins
Choi Hung,Kam Sheung Road,41 mins
Choi Hung,Yuen Long,44 mins
Choi Hung,Long Ping,46 mins
Choi Hung,Tin Shui Wai,49 mins
Choi Hung,Siu Hong,53 mins
Choi Hung,Tuen Mun,56 mins
Choi Hung,Hong Kong West Kowloon,28 mins
