Origin,Destination,Time
Disneyland Resort,AsiaWorld-Expo,40 mins
Disneyland Resort,LOHAS Park,69 mins
Disneyland Resort,Hung Hom,38 mins
Disneyland Resort,Mong Kok East,44 mins
Disneyland Resort,Tai Wai,48 mins
Disneyland Resort,Sha Tin,50 mins
Disneyland Resort,Fo Tan,53 mins
Disneyland Resort,Racecourse,58 mins
Disneyland Resort,University,56 mins
Disneyland Resort,Tai Po Market,62 mins
Disneyland Resort,Tai Wo,64 mins
Disneyland Resort,Fanling,68 mins
Disneyland Resort,Sheung Shui,71 mins
Disneyland Resort,Lo Wu,75 mins
Disneyland Resort,Lok Ma Chau,81 mins
Disneyland Resort,East Tsim Sha Tsui,35 mins
Disneyland Resort,Sai Ying Pun,44 mins
Disneyland Resort,HKU,45 mins
Disneyland Resort,Kennedy Town,47 mins
Disneyland Resort,Ho Man Tin,40 mins
Disneyland Resort,Whampoa,43 mins
Disneyland Resort,Ocean Park,51 mins
Disneyland Resort,Wong Chuk Hang,53 mins
Disneyland Resort,Lei Tung,56 mins
Disneyland Resort,South Horizons,57 mins
Disneyland Resort,Hin Keng,53 mins
Disneyland Resort,Kai Tak,46 mins
Disneyland Resort,Sung Wong Toi,44 mins
Disneyland Resort,To Kwa Wan,42 mins
Disneyland Resort,Exhibition Centre,44 mins
Disneyland Resort,Che Kung Temple,54 mins
Disneyland Resort,Sha Tin Wai,56 mins
Disneyland Resort,City One,58 mins
Disneyland Resort,Shek Mun,60 mins
Disneyland Resort,Tai Shui Hang,64 mins
Disneyland Resort,Heng On,66 mins
Disneyland Resort,Ma On Shan,68 mins
Disneyland Resort,Wu Kai Sha,70 mins
Disneyland Resort,Austin,32 mins
Disneyland Resort,Tsuen Wan West,34 mins
Disneyland Resort,Kam Sheung Road,40 mins
Disneyland Resort,Yuen Long,44 mins
Disneyland Resort,Long Ping,45 mins
Disneyland Resort,Tin Shui Wai,48 mins
Disneyland Resort,Siu Hong,53 mins
Disneyland Resort,Tuen Mun,55 mins
Disneyland Resort,Hong Kong West Kowloon,36 mins
