Origin,Destination,Time
East Tsim Sha Tsui,Sai Ying Pun,21 mins
East Tsim Sha Tsui,HKU,23 mins
East Tsim Sha Tsui,Kennedy Town,24 mins
East Tsim Sha Tsui,Ho Man Tin,6 mins
East Tsim Sha Tsui,Whampoa,13 mins
East Tsim Sha Tsui,Ocean Park,19 mins
East Tsim Sha Tsui,Wong Chuk Hang,21 mins
East Tsim Sha Tsui,Lei Tung,24 mins
East Tsim Sha Tsui,South Horizons,25 mins
East Tsim Sha Tsui,Hin Keng,20 mins
East Tsim Sha Tsui,Kai Tak,13 mins
East Tsim Sha Tsui,Sung Wong Toi,11 mins
East Tsim Sha Tsui,To Kwa Wan,9 mins
East Tsim Sha Tsui,Exhibition Centre,10 mins
East Tsim Sha Tsui,Che Kung Temple,24 mins
East Tsim Sha Tsui,Sha Tin Wai,25 mins
East Tsim Sha Tsui,City One,28 mins
East Tsim Sha Tsui,Shek Mun,29 mins
East Tsim Sha Tsui,Tai Shui Hang,33 mins
East Tsim Sha Tsui,Heng On,35 mins
East Tsim Sha Tsui,Ma On Shan,37 mins
East Tsim Sha Tsui,Wu Kai Sha,39 mins
East Tsim Sha Tsui,Austin,4 mins
East Tsim Sha Tsui,Tsuen Wan West,15 mins
East Tsim Sha Tsui,Kam Sheung Road,21 mins
East Tsim Sha Tsui,Yuen Long,24 mins
East Tsim Sha Tsui,Long Ping,26 mins
East Tsim Sha Tsui,Tin Shui Wai,29 mins
East Tsim Sha Tsui,Siu Hong,33 mins
East Tsim Sha Tsui,Tuen Mun,36 mins
East Tsim Sha Tsui,Hong Kong West Kowloon,8 mins
