Origin,Destination,Time
Exhibition Centre,Che Kung Temple,22 mins
Exhibition Centre,Sha Tin Wai,24 mins
Exhibition Centre,City One,26 mins
Exhibition Centre,Shek Mun,28 mins
Exhibition Centre,Tai Shui Hang,31 mins
Exhibition Centre,Heng On,33 mins
Exhibition Centre,Ma On Shan,35 mins
Exhibition Centre,Wu Kai Sha,37 mins
Exhibition Centre,Austin,13 mins
Exhibition Centre,Tsuen Wan West,23 mins
Exhibition Centre,Kam Sheung Road,29 mins
Exhibition Centre,Yuen Long,33 mins
Exhibition Centre,Long Ping,35 mins
Exhibition Centre,Tin Shui Wai,38 mins
Exhibition Centre,Siu Hong,42 mins
Exhibition Centre,Tuen Mun,45 mins
Exhibition Centre,Hong Kong West Kowloon,17 mins
