Origin,Destination,Time
Hang Hau,Po Lam,3 mins
Hang Hau,Nam Cheong,45 mins
Hang Hau,Sunny Bay,58 mins
Hang Hau,Disneyland Resort,65 mins
Hang Hau,AsiaWorld-Expo,66 mins
Hang Hau,LOHAS Park,11 mins
Hang Hau,Hung Hom,37 mins
Hang Hau,Mong Kok East,37 mins
Hang Hau,Tai Wai,35 mins
Hang Hau,Sha Tin,40 mins
Hang Hau,Fo Tan,43 mins
Hang Hau,Racecourse,48 mins
Hang Hau,University,46 mins
Hang Hau,Tai Po Market,52 mins
Hang Hau,Tai Wo,54 mins
Hang Hau,Fanling,58 mins
Hang Hau,Sheung Shui,61 mins
Hang Hau,Lo Wu,65 mins
Hang Hau,Lok Ma Chau,71 mins
Hang Hau,East Tsim Sha Tsui,41 mins
Hang Hau,Sai Ying Pun,33 mins
Hang Hau,HKU,34 mins
Hang Hau,Kennedy Town,36 mins
Hang Hau,Ho Man Tin,36 mins
Hang Hau,Whampoa,42 mins
Hang Hau,Ocean Park,36 mins
Hang Hau,Wong Chuk Hang,38 mins
Hang Hau,Lei Tung,41 mins
Hang Hau,South Horizons,42 mins
Hang Hau,Hin Keng,32 mins
Hang Hau,Kai Tak,30 mins
Hang Hau,Sung Wong Toi,32 mins
Hang Hau,To Kwa Wan,34 mins
Hang Hau,Exhibition Centre,33 mins
Hang Hau,Che Kung Temple,36 mins
Hang Hau,Sha Tin Wai,38 mins
Hang Hau,City One,40 mins
Hang Hau,Shek Mun,42 mins
Hang Hau,Tai Shui Hang,46 mins
Hang Hau,Heng On,48 mins
Hang Hau,Ma On Shan,50 mins
Hang Hau,Wu Kai Sha,52 mins
Hang Hau,Austin,44 mins
Hang Hau,Tsuen Wan West,54 mins
Hang Hau,Kam Sheung Road,60 mins
Hang Hau,Yuen Long,64 mins
Hang Hau,Long Ping,66 mins
Hang Hau,Tin Shui Wai,68 mins
Hang Hau,Siu Hong,73 mins
Hang Hau,Tuen Mun,75 mins
Hang Hau,Hong Kong West Kowloon,48 mins
