Origin,Destination,Time
Heng Fa Chuen,Chai Wan,3 mins
Heng Fa Chuen,Lam Tin,21 mins
Heng Fa Chuen,Hong Kong,29 mins
Heng Fa Chuen,Kowloon,34 mins
Heng Fa Chuen,Olympic,36 mins
Heng Fa Chuen,Tsing Yi,45 mins
Heng Fa Chuen,Tung Chung,60 mins
Heng Fa Chuen,Airport,55 mins
Heng Fa Chuen,Yau Tong,17 mins
Heng Fa Chuen,Tiu Keng Leng,21 mins
Heng Fa Chuen,Tseung Kwan O,23 mins
Heng Fa Chuen,Hang Hau,25 mins
Heng Fa Chuen,Po Lam,27 mins
Heng Fa Chuen,Nam Cheong,38 mins
Heng Fa Chuen,Sunny Bay,53 mins
Heng Fa Chuen,Disneyland Resort,60 mins
Heng Fa Chuen,AsiaWorld-Expo,59 mins
Heng Fa Chuen,LOHAS Park,28 mins
Heng Fa Chuen,Hung Hom,30 mins
Heng Fa Chuen,Mong Kok East,33 mins
Heng Fa Chuen,Tai Wai,40 mins
Heng Fa Chuen,Sha Tin,42 mins
Heng Fa Chuen,Fo Tan,45 mins
Heng Fa Chuen,Racecourse,50 mins
Heng Fa Chuen,University,48 mins
Heng Fa Chuen,Tai Po Market,54 mins
Heng Fa Chuen,Tai Wo,56 mins
Heng Fa Chuen,Fanling,60 mins
Heng Fa Chuen,Sheung Shui,63 mins
Heng Fa Chuen,Lo Wu,67 mins
Heng Fa Chuen,Lok Ma Chau,73 mins
Heng Fa Chuen,East Tsim Sha Tsui,35 mins
Heng Fa Chuen,Sai Ying Pun,26 mins
Heng Fa Chuen,HKU,27 mins
Heng Fa Chuen,Kennedy Town,29 mins
Heng Fa Chuen,Ho Man Tin,34 mins
Heng Fa Chuen,Whampoa,36 mins
Heng Fa Chuen,Ocean Park,29 mins
Heng Fa Chuen,Wong Chuk Hang,31 mins
Heng Fa Chuen,Lei Tung,34 mins
Heng Fa Chuen,South Horizons,35 mins
Heng Fa Chuen,Hin Keng,41 mins
Heng Fa Chuen,Kai Tak,39 mins
Heng Fa Chuen,Sung Wong Toi,39 mins
Heng Fa Chuen,To Kwa Wan,36 mins
Heng Fa Chuen,Exhibition Centre,26 mins
Heng Fa Chuen,Che Kung Temple,45 mins
Heng Fa Chuen,Sha Tin Wai,47 mins
Heng Fa Chuen,City One,49 mins
Heng Fa Chuen,Shek Mun,51 mins
Heng Fa Chuen,Tai Shui Hang,54 mins
Heng Fa Chuen,Heng On,56 mins
Heng Fa Chuen,Ma On Shan,58 mins
Heng Fa Chuen,Wu Kai Sha,61 mins
Heng Fa Chuen,Austin,38 mins
Heng Fa Chuen,Tsuen Wan West,48 mins
Heng Fa Chuen,Kam Sheung Road,54 mins
Heng Fa Chuen,Yuen Long,58 mins
Heng Fa Chuen,Long Ping,59 mins
Heng Fa Chuen,Tin Shui Wai,62 mins
Heng Fa Chuen,Siu Hong,67 mins
Heng Fa Chuen,Tuen Mun,69 mins
Heng Fa Chuen,Hong Kong West Kowloon,42 mins
