Origin,Destination,Time
Hin Keng,Kai Tak,8 mins
Hin Keng,Sung Wong Toi,10 mins
Hin Keng,To Kwa Wan,12 mins
Hin Keng,Exhibition Centre,22 mins
Hin Keng,Che Kung Temple,6 mins
Hin Keng,Sha Tin Wai,8 mins
Hin Keng,City One,10 mins
Hin Keng,Shek Mun,12 mins
Hin Keng,Tai Shui Hang,15 mins
Hin Keng,Heng On,17 mins
Hin Keng,Ma On Shan,19 mins
Hin Keng,Wu Kai Sha,22 mins
Hin Keng,Austin,22 mins
Hin Keng,Tsuen Wan West,33 mins
Hin Keng,Kam Sheung Road,39 mins
Hin Keng,Yuen Long,42 mins
Hin Keng,Long Ping,44 mins
Hin Keng,Tin Shui Wai,47 mins
Hin Keng,Siu Hong,51 mins
Hin Keng,Tuen Mun,54 mins
Hin Keng,Hong Kong West Kowloon,26 mins
