Origin,Destination,Time
Ho Man Tin,Whampoa,4 mins
Ho Man Tin,Ocean Park,18 mins
Ho Man Tin,Wong Chuk Hang,20 mins
Ho Man Tin,Lei Tung,23 mins
Ho Man Tin,South Horizons,25 mins
Ho Man Tin,Hin Keng,15 mins
Ho Man Tin,Kai Tak,8 mins
Ho Man Tin,Sung Wong Toi,6 mins
Ho Man Tin,To Kwa Wan,4 mins
Ho Man Tin,Exhibition Centre,10 mins
Ho Man Tin,Che Kung Temple,19 mins
Ho Man Tin,Sha Tin Wai,21 mins
Ho Man Tin,City One,23 mins
Ho Man Tin,Shek Mun,25 mins
Ho Man Tin,Tai Shui Hang,28 mins
Ho Man Tin,Heng On,30 mins
Ho Man Tin,Ma On Shan,32 mins
Ho Man Tin,Wu Kai Sha,35 mins
Ho Man Tin,Austin,9 mins
Ho Man Tin,Tsuen Wan West,20 mins
Ho Man Tin,Kam Sheung Road,26 mins
Ho Man Tin,Yuen Long,29 mins
Ho Man Tin,Long Ping,31 mins
Ho Man Tin,Tin Shui Wai,34 mins
Ho Man Tin,Siu Hong,38 mins
Ho Man Tin,Tuen Mun,41 mins
Ho Man Tin,Hong Kong West Kowloon,13 mins
