Origin,Destination,Time
Jordan,Yau Ma Tei,3 mins
Jordan,Mong Kok,5 mins
Jordan,Shek Kip Mei,10 mins
Jordan,Kowloon Tong,12 mins
Jordan,Lok Fu,14 mins
Jordan,Wong Tai Sin,16 mins
Jordan,Diamond Hill,18 mins
Jordan,Choi Hung,20 mins
Jordan,Kowloon Bay,23 mins
Jordan,Ngau Tau Kok,25 mins
Jordan,Kwun Tong,27 mins
Jordan,Prince Edward,7 mins
Jordan,Sham Shui Po,9 mins
Jordan,Cheung Sha Wan,11 mins
Jordan,Lai Chi Kok,13 mins
Jordan,Mei Foo,15 mins
Jordan,Lai King,17 mins
Jordan,Kwai Fong,20 mins
Jordan,Kwai Hing,21 mins
Jordan,Tai Wo Hau,24 mins
Jordan,Tsuen Wan,25 mins
Jordan,Sheung Wan,13 mins
Jordan,Wan Chai,10 mins
Jordan,Causeway Bay,12 mins
Jordan,Tin Hau,14 mins
Jordan,Fortress Hill,16 mins
Jordan,North Point,18 mins
Jordan,Quarry Bay,20 mins
Jordan,Tai Koo,22 mins
Jordan,Sai Wan Ho,23 mins
Jordan,Shau Kei Wan,25 mins
Jordan,Heng Fa Chuen,27 mins
Jordan,Chai Wan,29 mins
Jordan,Lam Tin,28 mins
Jordan,Hong Kong,17 mins
Jordan,Kowloon,21 mins
Jordan,Olympic,24 mins
Jordan,Tsing Yi,23 mins
Jordan,Tung Chung,37 mins
Jordan,Airport,42 mins
Jordan,Yau Tong,26 mins
Jordan,Tiu Keng Leng,29 mins
Jordan,Tseung Kwan O,31 mins
Jordan,Hang Hau,34 mins
Jordan,Po Lam,36 mins
Jordan,Nam Cheong,20 mins
Jordan,Sunny Bay,31 mins
Jordan,Disneyland Resort,37 mins
Jordan,AsiaWorld-Expo,46 mins
Jordan,LOHAS Park,37 mins
Jordan,Hung Hom,13 mins
Jordan,Mong Kok East,19 mins
Jordan,Tai Wai,22 mins
Jordan,Sha Tin,24 mins
Jordan,Fo Tan,26 mins
Jordan,Racecourse,31 mins
Jordan,University,30 mins
Jordan,Tai Po Market,35 mins
Jordan,Tai Wo,37 mins
Jordan,Fanling,42 mins
Jordan,Sheung Shui,44 mins
Jordan,Lo Wu,48 mins
Jordan,Lok Ma Chau,54 mins
Jordan,East Tsim Sha Tsui,13 mins
Jordan,Sai Ying Pun,15 mins
Jordan,HKU,16 mins
Jordan,Kennedy Town,18 mins
Jordan,Ho Man Tin,8 mins
Jordan,Whampoa,10 mins
Jordan,Ocean Park,15 mins
Jordan,Wong Chuk Hang,17 mins
Jordan,Lei Tung,20 mins
Jordan,South Horizons,22 mins
Jordan,Hin Keng,24 mins
Jordan,Kai Tak,17 mins
Jordan,Sung Wong Toi,15 mins
Jordan,To Kwa Wan,13 mins
Jordan,Exhibition Centre,13 mins
Jordan,Che Kung Temple,28 mins
Jordan,Sha Tin Wai,30 mins
Jordan,City One,32 mins
Jordan,Shek Mun,34 mins
Jordan,Tai Shui Hang,37 mins
Jordan,Heng On,39 mins
Jordan,Ma On Shan,41 mins
Jordan,Wu Kai Sha,44 mins
Jordan,Austin,17 mins
Jordan,Tsuen Wan West,27 mins
Jordan,Kam Sheung Road,33 mins
Jordan,Yuen Long,37 mins
Jordan,Long Ping,38 mins
Jordan,Tin Shui Wai,41 mins
Jordan,Siu Hong,46 mins
Jordan,Tuen Mun,48 mins
Jordan,Hong Kong West Kowloon,21 mins
