Origin,Destination,Time
Kai Tak,Sung Wong Toi,3 mins
Kai Tak,To Kwa Wan,5 mins
Kai Tak,Exhibition Centre,16 mins
Kai Tak,Che Kung Temple,13 mins
Kai Tak,Sha Tin Wai,15 mins
Kai Tak,City One,17 mins
Kai Tak,Shek Mun,19 mins
Kai Tak,Tai Shui Hang,22 mins
Kai Tak,Heng On,24 mins
Kai Tak,Ma On Shan,26 mins
Kai Tak,Wu Kai Sha,29 mins
Kai Tak,Austin,15 mins
Kai Tak,Tsuen Wan West,26 mins
Kai Tak,Kam Sheung Road,32 mins
Kai Tak,Yuen Long,35 mins
Kai Tak,Long Ping,37 mins
Kai Tak,Tin Shui Wai,40 mins
Kai Tak,Siu Hong,44 mins
Kai Tak,Tuen Mun,47 mins
Kai Tak,Hong Kong West Kowloon,19 mins
