Origin,Destination,Time
Kennedy Town,Ho Man Tin,24 mins
Kennedy Town,Whampoa,27 mins
Kennedy Town,Ocean Park,19 mins
Kennedy Town,Wong Chuk Hang,20 mins
Kennedy Town,Lei Tung,23 mins
Kennedy Town,South Horizons,25 mins
Kennedy Town,Hin Keng,36 mins
Kennedy Town,Kai Tak,30 mins
Kennedy Town,Sung Wong Toi,28 mins
Kennedy Town,To Kwa Wan,26 mins
Kennedy Town,Exhibition Centre,16 mins
Kennedy Town,Che Kung Temple,36 mins
Kennedy Town,Sha Tin Wai,38 mins
Kennedy Town,City One,40 mins
Kennedy Town,Shek Mun,42 mins
Kennedy Town,Tai Shui Hang,45 mins
Kennedy Town,Heng On,47 mins
Kennedy Town,Ma On Shan,50 mins
Kennedy Town,Wu Kai Sha,52 mins
Kennedy Town,Austin,28 mins
Kennedy Town,Tsuen Wan West,35 mins
Kennedy Town,Kam Sheung Road,41 mins
Kennedy Town,Yuen Long,45 mins
Kennedy Town,Long Ping,47 mins
Kennedy Town,Tin Shui Wai,50 mins
Kennedy Town,Siu Hong,54 mins
Kennedy Town,Tuen Mun,57 mins
Kennedy Town,Hong Kong West Kowloon,30 mins
