Origin,Destination,Time
Kwun Tong,Prince Edward,20 mins
Kwun Tong,Sham Shui Po,23 mins
Kwun Tong,Cheung Sha Wan,25 mins
Kwun Tong,Lai Chi Kok,27 mins
Kwun Tong,Mei Foo,29 mins
Kwun Tong,Lai King,32 mins
Kwun Tong,Kwai Fong,34 mins
Kwun Tong,Kwai Hing,36 mins
Kwun Tong,Tai Wo Hau,38 mins
Kwun Tong,Tsuen Wan,39 mins
Kwun Tong,Sheung Wan,29 mins
Kwun Tong,Wan Chai,23 mins
Kwun Tong,Causeway Bay,20 mins
Kwun Tong,Tin Hau,18 mins
Kwun Tong,Fortress Hill,17 mins
Kwun Tong,North Point,13 mins
Kwun Tong,Quarry Bay,11 mins
Kwun Tong,Tai Koo,17 mins
Kwun Tong,Sai Wan Ho,19 mins
Kwun Tong,Shau Kei Wan,21 mins
Kwun Tong,Heng Fa Chuen,23 mins
Kwun Tong,Chai Wan,25 mins
Kwun Tong,Lam Tin,3 mins
Kwun Tong,Hong Kong,34 mins
Kwun Tong,Kowloon,38 mins
Kwun Tong,Olympic,38 mins
Kwun Tong,Tsing Yi,37 mins
Kwun Tong,Tung Chung,52 mins
Kwun Tong,Airport,56 mins
Kwun Tong,Yau Tong,5 mins
Kwun Tong,Tiu Keng Leng,8 mins
Kwun Tong,Tseung Kwan O,12 mins
Kwun Tong,Hang Hau,14 mins
Kwun Tong,Po Lam,16 mins
Kwun Tong,Nam Cheong,34 mins
Kwun Tong,Sunny Bay,45 mins
Kwun Tong,Disneyland Resort,52 mins
Kwun Tong,AsiaWorld-Expo,60 mins
Kwun Tong,LOHAS Park,17 mins
Kwun Tong,Hung Hom,25 mins
Kwun Tong,Mong Kok East,24 mins
Kwun Tong,Tai Wai,21 mins
Kwun Tong,Sha Tin,27 mins
Kwun Tong,Fo Tan,30 mins
Kwun Tong,Racecourse,34 mins
Kwun Tong,University,33 mins
Kwun Tong,Tai Po Market,38 mins
Kwun Tong,Tai Wo,41 mins
Kwun Tong,Fanling,45 mins
Kwun Tong,Sheung Shui,47 mins
Kwun Tong,Lo Wu,52 mins
Kwun Tong,Lok Ma Chau,57 mins
Kwun Tong,East Tsim Sha Tsui,28 mins
Kwun Tong,Sai Ying Pun,30 mins
Kwun Tong,HKU,32 mins
Kwun Tong,Kennedy Town,33 mins
Kwun Tong,Ho Man Tin,23 mins
Kwun Tong,Whampoa,28 mins
Kwun Tong,Ocean Park,34 mins
Kwun Tong,Wong Chuk Hang,36 mins
Kwun Tong,Lei Tung,38 mins
Kwun Tong,South Horizons,40 mins
Kwun Tong,Hin Keng,19 mins
Kwun Tong,Kai Tak,17 mins
Kwun Tong,Sung Wong Toi,19 mins
Kwun Tong,To Kwa Wan,21 mins
Kwun Tong,Exhibition Centre,31 mins
Kwun Tong,Che Kung Temple,23 mins
Kwun Tong,Sha Tin Wai,25 mins
Kwun Tong,City One,27 mins
Kwun Tong,Shek Mun,29 mins
Kwun Tong,Tai Shui Hang,32 mins
Kwun Tong,Heng On,34 mins
Kwun Tong,Ma On Shan,37 mins
Kwun Tong,Wu Kai Sha,39 mins
Kwun Tong,Austin,31 mins
Kwun Tong,Tsuen Wan West,41 mins
Kwun Tong,Kam Sheung Road,47 mins
Kwun Tong,Yuen Long,51 mins
Kwun Tong,Long Ping,52 mins
Kwun Tong,Tin Shui Wai,55 mins
Kwun Tong,Siu Hong,60 mins
Kwun Tong,Tuen Mun,62 mins
Kwun Tong,Hong Kong West Kowloon,35 mins
