Origin,Destination,Time
LOHAS Park,Hung Hom,40 mins
LOHAS Park,Mong Kok East,40 mins
LOHAS Park,Tai Wai,38 mins
LOHAS Park,Sha Tin,43 mins
LOHAS Park,Fo Tan,46 mins
LOHAS Park,Racecourse,51 mins
LOHAS Park,University,49 mins
LOHAS Park,Tai Po Market,55 mins
LOHAS Park,Tai Wo,57 mins
LOHAS Park,Fanling,62 mins
LOHAS Park,Sheung Shui,64 mins
LOHAS Park,Lo Wu,68 mins
LOHAS Park,Lok Ma Chau,74 mins
LOHAS Park,East Tsim Sha Tsui,44 mins
LOHAS Park,Sai Ying Pun,36 mins
LOHAS Park,HKU,37 mins
LOHAS Park,Kennedy Town,39 mins
LOHAS Park,Ho Man Tin,39 mins
LOHAS Park,Whampoa,45 mins
LOHAS Park,Ocean Park,39 mins
LOHAS Park,Wong Chuk Hang,41 mins
LOHAS Park,Lei Tung,44 mins
LOHAS Park,South Horizons,46 mins
LOHAS Park,Hin Keng,35 mins
LOHAS Park,Kai Tak,33 mins
LOHAS Park,Sung Wong Toi,35 mins
LOHAS Park,To Kwa Wan,37 mins
LOHAS Park,Exhibition Centre,36 mins
LOHAS Park,Che Kung Temple,40 mins
LOHAS Park,Sha Tin Wai,41 mins
LOHAS Park,City One,44 mins
LOHAS Park,Shek Mun,45 mins
LOHAS Park,Tai Shui Hang,49 mins
LOHAS Park,Heng On,51 mins
LOHAS Park,Ma On Shan,53 mins
LOHAS Park,Wu Kai Sha,55 mins
LOHAS Park,Austin,47 mins
LOHAS Park,Tsuen Wan West,57 mins
LOHAS Park,Kam Sheung Road,63 mins
LOHAS Park,Yuen Long,67 mins
LOHAS Park,Long Ping,69 mins
LOHAS Park,Tin Shui Wai,72 mins
LOHAS Park,Siu Hong,76 mins
LOHAS Park,Tuen Mun,79 mins
LOHAS Park,Hong Kong West Kowloon,51 mins
