Origin,Destination,Time
Lai Chi Kok,Mei Foo,3 mins
Lai Chi Kok,Lai King,6 mins
Lai Chi Kok,Kwai Fong,8 mins
Lai Chi Kok,Kwai Hing,10 mins
Lai Chi Kok,Tai Wo Hau,12 mins
Lai Chi Kok,Tsuen Wan,14 mins
Lai Chi Kok,Sheung Wan,24 mins
Lai Chi Kok,Wan Chai,21 mins
Lai Chi Kok,Causeway Bay,24 mins
Lai Chi Kok,Tin Hau,26 mins
Lai Chi Kok,Fortress Hill,27 mins
Lai Chi Kok,North Point,29 mins
Lai Chi Kok,Quarry Bay,31 mins
Lai Chi Kok,Tai Koo,33 mins
Lai Chi Kok,Sai Wan Ho,35 mins
Lai Chi Kok,Shau Kei Wan,36 mins
Lai Chi Kok,Heng Fa Chuen,39 mins
Lai Chi Kok,Chai Wan,41 mins
Lai Chi Kok,Lam Tin,29 mins
Lai Chi Kok,Hong Kong,21 mins
Lai Chi Kok,Kowloon,18 mins
Lai Chi Kok,Olympic,15 mins
Lai Chi Kok,Tsing Yi,12 mins
Lai Chi Kok,Tung Chung,26 mins
Lai Chi Kok,Airport,31 mins
Lai Chi Kok,Yau Tong,31 mins
Lai Chi Kok,Tiu Keng Leng,34 mins
Lai Chi Kok,Tseung Kwan O,37 mins
Lai Chi Kok,Hang Hau,40 mins
Lai Chi Kok,Po Lam,42 mins
Lai Chi Kok,Nam Cheong,13 mins
Lai Chi Kok,Sunny Bay,19 mins
Lai Chi Kok,Disneyland Resort,26 mins
Lai Chi Kok,AsiaWorld-Expo,34 mins
Lai Chi Kok,LOHAS Park,43 mins
Lai Chi Kok,Hung Hom,20 mins
Lai Chi Kok,Mong Kok East,20 mins
Lai Chi Kok,Tai Wai,22 mins
Lai Chi Kok,Sha Tin,24 mins
Lai Chi Kok,Fo Tan,27 mins
Lai Chi Kok,Racecourse,31 mins
Lai Chi Kok,University,30 mins
Lai Chi Kok,Tai Po Market,35 mins
Lai Chi Kok,Tai Wo,37 mins
Lai Chi Kok,Fanling,42 mins
Lai Chi Kok,Sheung Shui,44 mins
Lai Chi Kok,Lo Wu,49 mins
Lai Chi Kok,Lok Ma Chau,54 mins
Lai Chi Kok,East Tsim Sha Tsui,21 mins
Lai Chi Kok,Sai Ying Pun,26 mins
Lai Chi Kok,HKU,28 mins
Lai Chi Kok,Kennedy Town,29 mins
Lai Chi Kok,Ho Man Tin,15 mins
Lai Chi Kok,Whampoa,17 mins
Lai Chi Kok,Ocean Park,27 mins
Lai Chi Kok,Wong Chuk Hang,29 mins
Lai Chi Kok,Lei Tung,31 mins
Lai Chi Kok,South Horizons,33 mins
Lai Chi Kok,Hin Keng,28 mins
Lai Chi Kok,Kai Tak,24 mins
Lai Chi Kok,Sung Wong Toi,22 mins
Lai Chi Kok,To Kwa Wan,20 mins
Lai Chi Kok,Exhibition Centre,24 mins
Lai Chi Kok,Che Kung Temple,28 mins
Lai Chi Kok,Sha Tin Wai,30 mins
Lai Chi Kok,City One,32 mins
Lai Chi Kok,Shek Mun,34 mins
Lai Chi Kok,Tai Shui Hang,37 mins
Lai Chi Kok,Heng On,39 mins
Lai Chi Kok,Ma On Shan,42 mins
Lai Chi Kok,Wu Kai Sha,44 mins
Lai Chi Kok,Austin,18 mins
Lai Chi Kok,Tsuen Wan West,17 mins
Lai Chi Kok,Kam Sheung Road,23 mins
Lai Chi Kok,Yuen Long,26 mins
Lai Chi Kok,Long Ping,28 mins
Lai Chi Kok,Tin Shui Wai,31 mins
Lai Chi Kok,Siu Hong,35 mins
Lai Chi Kok,Tuen Mun,38 mins
Lai Chi Kok,Hong Kong West Kowloon,22 mins
