Origin,Destination,Time
Lai King,Kwai Fong,3 mins
Lai King,Kwai Hing,5 mins
Lai King,Tai Wo Hau,7 mins
Lai King,Tsuen Wan,9 mins
Lai King,Sheung Wan,23 mins
Lai King,Wan Chai,25 mins
Lai King,Causeway Bay,27 mins
Lai King,Tin Hau,29 mins
Lai King,Fortress Hill,31 mins
Lai King,North Point,33 mins
Lai King,Quarry Bay,35 mins
Lai King,Tai Koo,37 mins
Lai King,Sai Wan Ho,38 mins
Lai King,Shau Kei Wan,40 mins
Lai King,Heng Fa Chuen,42 mins
Lai King,Chai Wan,44 mins
Lai King,Lam Tin,34 mins
Lai King,Hong Kong,13 mins
Lai King,Kowloon,10 mins
Lai King,Olympic,8 mins
Lai King,Tsing Yi,5 mins
Lai King,Tung Chung,20 mins
Lai King,Airport,24 mins
Lai King,Yau Tong,36 mins
Lai King,Tiu Keng Leng,39 mins
Lai King,Tseung Kwan O,42 mins
Lai King,Hang Hau,45 mins
Lai King,Po Lam,47 mins
Lai King,Nam Cheong,6 mins
Lai King,Sunny Bay,13 mins
Lai King,Disneyland Resort,20 mins
Lai King,AsiaWorld-Expo,28 mins
Lai King,LOHAS Park,48 mins
Lai King,Hung Hom,18 mins
Lai King,Mong Kok East,25 mins
Lai King,Tai Wai,27 mins
Lai King,Sha Tin,29 mins
Lai King,Fo Tan,31 mins
Lai King,Racecourse,36 mins
Lai King,University,35 mins
Lai King,Tai Po Market,40 mins
Lai King,Tai Wo,42 mins
Lai King,Fanling,47 mins
Lai King,Sheung Shui,49 mins
Lai King,Lo Wu,53 mins
Lai King,Lok Ma Chau,59 mins
Lai King,East Tsim Sha Tsui,16 mins
Lai King,Sai Ying Pun,25 mins
Lai King,HKU,26 mins
Lai King,Kennedy Town,28 mins
Lai King,Ho Man Tin,19 mins
Lai King,Whampoa,22 mins
Lai King,Ocean Park,32 mins
Lai King,Wong Chuk Hang,34 mins
Lai King,Lei Tung,36 mins
Lai King,South Horizons,38 mins
Lai King,Hin Keng,33 mins
Lai King,Kai Tak,27 mins
Lai King,Sung Wong Toi,25 mins
Lai King,To Kwa Wan,23 mins
Lai King,Exhibition Centre,24 mins
Lai King,Che Kung Temple,33 mins
Lai King,Sha Tin Wai,35 mins
Lai King,City One,37 mins
Lai King,Shek Mun,39 mins
Lai King,Tai Shui Hang,42 mins
Lai King,Heng On,44 mins
Lai King,Ma On Shan,46 mins
Lai King,Wu Kai Sha,49 mins
Lai King,Austin,13 mins
Lai King,Tsuen Wan West,15 mins
Lai King,Kam Sheung Road,21 mins
Lai King,Yuen Long,24 mins
Lai King,Long Ping,26 mins
Lai King,Tin Shui Wai,29 mins
Lai King,Siu Hong,34 mins
Lai King,Tuen Mun,36 mins
Lai King,Hong Kong West Kowloon,17 mins
