Origin,Destination,Time
Lam Tin,Hong Kong,32 mins
Lam Tin,Kowloon,37 mins
Lam Tin,Olympic,39 mins
Lam Tin,Tsing Yi,39 mins
Lam Tin,Tung Chung,54 mins
Lam Tin,Airport,58 mins
Lam Tin,Yau Tong,3 mins
Lam Tin,Tiu Keng Leng,6 mins
Lam Tin,Tseung Kwan O,10 mins
Lam Tin,Hang Hau,12 mins
Lam Tin,Po Lam,14 mins
Lam Tin,Nam Cheong,36 mins
Lam Tin,Sunny Bay,47 mins
Lam Tin,Disneyland Resort,54 mins
Lam Tin,AsiaWorld-Expo,62 mins
Lam Tin,LOHAS Park,16 mins
Lam Tin,Hung Hom,27 mins
Lam Tin,Mong Kok East,25 mins
Lam Tin,Tai Wai,23 mins
Lam Tin,Sha Tin,29 mins
Lam Tin,Fo Tan,32 mins
Lam Tin,Racecourse,36 mins
Lam Tin,University,35 mins
Lam Tin,Tai Po Market,40 mins
Lam Tin,Tai Wo,42 mins
Lam Tin,Fanling,47 mins
Lam Tin,Sheung Shui,49 mins
Lam Tin,Lo Wu,54 mins
Lam Tin,Lok Ma Chau,59 mins
Lam Tin,East Tsim Sha Tsui,30 mins
Lam Tin,Sai Ying Pun,29 mins
Lam Tin,HKU,30 mins
Lam Tin,Kennedy Town,31 mins
Lam Tin,Ho Man Tin,25 mins
Lam Tin,Whampoa,30 mins
Lam Tin,Ocean Park,32 mins
Lam Tin,Wong Chuk Hang,34 mins
Lam Tin,Lei Tung,36 mins
Lam Tin,South Horizons,38 mins
Lam Tin,Hin Keng,21 mins
Lam Tin,Kai Tak,19 mins
Lam Tin,Sung Wong Toi,21 mins
Lam Tin,To Kwa Wan,23 mins
Lam Tin,Exhibition Centre,29 mins
Lam Tin,Che Kung Temple,25 mins
Lam Tin,Sha Tin Wai,27 mins
Lam Tin,City One,29 mins
Lam Tin,Shek Mun,31 mins
Lam Tin,Tai Shui Hang,34 mins
Lam Tin,Heng On,36 mins
Lam Tin,Ma On Shan,39 mins
Lam Tin,Wu Kai Sha,41 mins
Lam Tin,Austin,33 mins
Lam Tin,Tsuen Wan West,43 mins
Lam Tin,Kam Sheung Road,49 mins
Lam Tin,Yuen Long,52 mins
Lam Tin,Long Ping,54 mins
Lam Tin,Tin Shui Wai,57 mins
Lam Tin,Siu Hong,62 mins
Lam Tin,Tuen Mun,64 mins
Lam Tin,Hong Kong West Kowloon,37 mins
