Origin,Destination,Time
Lei Tung,South Horizons,4 mins
Lei Tung,Hin Keng,35 mins
Lei Tung,Kai Tak,29 mins
Lei Tung,Sung Wong Toi,27 mins
Lei Tung,To Kwa Wan,25 mins
Lei Tung,Exhibition Centre,15 mins
Lei Tung,Che Kung Temple,35 mins
Lei Tung,Sha Tin Wai,37 mins
Lei Tung,City One,39 mins
Lei Tung,Shek Mun,41 mins
Lei Tung,Tai Shui Hang,44 mins
Lei Tung,Heng On,46 mins
Lei Tung,Ma On Shan,48 mins
Lei Tung,Wu Kai Sha,51 mins
Lei Tung,Austin,26 mins
Lei Tung,Tsuen Wan West,37 mins
Lei Tung,Kam Sheung Road,43 mins
Lei Tung,Yuen Long,46 mins
Lei Tung,Long Ping,48 mins
Lei Tung,Tin Shui Wai,51 mins
Lei Tung,Siu Hong,55 mins
Lei Tung,Tuen Mun,58 mins
Lei Tung,Hong Kong West Kowloon,30 mins
