Origin,Destination,Time
Lo Wu,Lok Ma Chau,20 mins
Lo Wu,East Tsim Sha Tsui,44 mins
Lo Wu,Sai Ying Pun,53 mins
Lo Wu,HKU,54 mins
Lo Wu,Kennedy Town,56 mins
Lo Wu,Ho Man Tin,43 mins
Lo Wu,Whampoa,50 mins
Lo Wu,Ocean Park,51 mins
Lo Wu,Wong Chuk Hang,53 mins
Lo Wu,Lei Tung,55 mins
Lo Wu,South Horizons,57 mins
Lo Wu,Hin Keng,34 mins
Lo Wu,Kai Tak,41 mins
Lo Wu,Sung Wong Toi,43 mins
Lo Wu,To Kwa Wan,45 mins
Lo Wu,Exhibition Centre,42 mins
Lo Wu,Che Kung Temple,34 mins
Lo Wu,Sha Tin Wai,36 mins
Lo Wu,City One,38 mins
Lo Wu,Shek Mun,40 mins
Lo Wu,Tai Shui Hang,43 mins
Lo Wu,Heng On,45 mins
Lo Wu,Ma On Shan,48 mins
Lo Wu,Wu Kai Sha,50 mins
Lo Wu,Austin,47 mins
Lo Wu,Tsuen Wan West,57 mins
Lo Wu,Kam Sheung Road,63 mins
Lo Wu,Yuen Long,67 mins
Lo Wu,Long Ping,68 mins
Lo Wu,Tin Shui Wai,71 mins
Lo Wu,Siu Hong,76 mins
Lo Wu,Tuen Mun,78 mins
Lo Wu,Hong Kong West Kowloon,51 mins
