Origin,Destination,Time
Lok Ma Chau,East Tsim Sha Tsui,50 mins
Lok Ma Chau,Sai Ying Pun,59 mins
Lok Ma Chau,HKU,60 mins
Lok Ma Chau,Kennedy Town,62 mins
Lok Ma Chau,Ho Man Tin,49 mins
Lok Ma Chau,Whampoa,56 mins
Lok Ma Chau,Ocean Park,57 mins
Lok Ma Chau,Wong Chuk Hang,59 mins
Lok Ma Chau,Lei Tung,61 mins
Lok Ma Chau,South Horizons,63 mins
Lok Ma Chau,Hin Keng,40 mins
Lok Ma Chau,Kai Tak,47 mins
Lok Ma Chau,Sung Wong Toi,49 mins
Lok Ma Chau,To Kwa Wan,51 mins
Lok Ma Chau,Exhibition Centre,48 mins
Lok Ma Chau,Che Kung Temple,40 mins
Lok Ma Chau,Sha Tin Wai,42 mins
Lok Ma Chau,City One,44 mins
Lok Ma Chau,Shek Mun,46 mins
Lok Ma Chau,Tai Shui Hang,49 mins
Lok Ma Chau,Heng On,51 mins
Lok Ma Chau,Ma On Shan,53 mins
Lok Ma Chau,Wu Kai Sha,56 mins
Lok Ma Chau,Austin,52 mins
Lok Ma Chau,Tsuen Wan West,63 mins
Lok Ma Chau,Kam Sheung Road,69 mins
Lok Ma Chau,Yuen Long,72 mins
Lok Ma Chau,Long Ping,74 mins
Lok Ma Chau,Tin Shui Wai,77 mins
Lok Ma Chau,Siu Hong,81 mins
Lok Ma Chau,Tuen Mun,84 mins
Lok Ma Chau,Hong Kong West Kowloon,56 mins
