Origin,Destination,Time
Mong Kok East,Tai Wai,8 mins
Mong Kok East,Sha Tin,10 mins
Mong Kok East,Fo Tan,13 mins
Mong Kok East,Racecourse,18 mins
Mong Kok East,University,16 mins
Mong Kok East,Tai Po Market,22 mins
Mong Kok East,Tai Wo,24 mins
Mong Kok East,Fanling,29 mins
Mong Kok East,Sheung Shui,31 mins
Mong Kok East,Lo Wu,35 mins
Mong Kok East,Lok Ma Chau,41 mins
Mong Kok East,East Tsim Sha Tsui,10 mins
Mong Kok East,Sai Ying Pun,19 mins
Mong Kok East,HKU,21 mins
Mong Kok East,Kennedy Town,22 mins
Mong Kok East,Ho Man Tin,10 mins
Mong Kok East,Whampoa,17 mins
Mong Kok East,Ocean Park,17 mins
Mong Kok East,Wong Chuk Hang,19 mins
Mong Kok East,Lei Tung,22 mins
Mong Kok East,South Horizons,24 mins
Mong Kok East,Hin Keng,15 mins
Mong Kok East,Kai Tak,16 mins
Mong Kok East,Sung Wong Toi,14 mins
Mong Kok East,To Kwa Wan,12 mins
Mong Kok East,Exhibition Centre,9 mins
Mong Kok East,Che Kung Temple,15 mins
Mong Kok East,Sha Tin Wai,16 mins
Mong Kok East,City One,19 mins
Mong Kok East,Shek Mun,20 mins
Mong Kok East,Tai Shui Hang,24 mins
Mong Kok East,Heng On,26 mins
Mong Kok East,Ma On Shan,28 mins
Mong Kok East,Wu Kai Sha,30 mins
Mong Kok East,Austin,13 mins
Mong Kok East,Tsuen Wan West,24 mins
Mong Kok East,Kam Sheung Road,30 mins
Mong Kok East,Yuen Long,33 mins
Mong Kok East,Long Ping,35 mins
Mong Kok East,Tin Shui Wai,38 mins
Mong Kok East,Siu Hong,42 mins
Mong Kok East,Tuen Mun,45 mins
Mong Kok East,Hong Kong West Kowloon,17 mins
