Origin,Destination,Time
Mong Kok,Shek Kip Mei,5 mins
Mong Kok,Kowloon Tong,7 mins
Mong Kok,Lok Fu,9 mins
Mong Kok,Wong Tai Sin,11 mins
Mong Kok,Diamond Hill,13 mins
Mong Kok,Choi Hung,15 mins
Mong Kok,Kowloon Bay,17 mins
Mong Kok,Ngau Tau Kok,20 mins
Mong Kok,Kwun Tong,21 mins
Mong Kok,Prince Edward,3 mins
Mong Kok,Sham Shui Po,5 mins
Mong Kok,Cheung Sha Wan,7 mins
Mong Kok,Lai Chi Kok,9 mins
Mong Kok,Mei Foo,11 mins
Mong Kok,Lai King,13 mins
Mong Kok,Kwai Fong,16 mins
Mong Kok,Kwai Hing,17 mins
Mong Kok,Tai Wo Hau,20 mins
Mong Kok,Tsuen Wan,21 mins
Mong Kok,Sheung Wan,17 mins
Mong Kok,Wan Chai,14 mins
Mong Kok,Causeway Bay,16 mins
Mong Kok,Tin Hau,18 mins
Mong Kok,Fortress Hill,20 mins
Mong Kok,North Point,22 mins
Mong Kok,Quarry Bay,24 mins
Mong Kok,Tai Koo,25 mins
Mong Kok,Sai Wan Ho,27 mins
Mong Kok,Shau Kei Wan,29 mins
Mong Kok,Heng Fa Chuen,31 mins
Mong Kok,Chai Wan,33 mins
Mong Kok,Lam Tin,23 mins
Mong Kok,Hong Kong,21 mins
Mong Kok,Kowloon,25 mins
Mong Kok,Olympic,23 mins
Mong Kok,Tsing Yi,19 mins
Mong Kok,Tung Chung,33 mins
Mong Kok,Airport,38 mins
Mong Kok,Yau Tong,25 mins
Mong Kok,Tiu Keng Leng,28 mins
Mong Kok,Tseung Kwan O,32 mins
Mong Kok,Hang Hau,35 mins
Mong Kok,Po Lam,36 mins
Mong Kok,Nam Cheong,20 mins
Mong Kok,Sunny Bay,27 mins
Mong Kok,Disneyland Resort,34 mins
Mong Kok,AsiaWorld-Expo,42 mins
Mong Kok,LOHAS Park,38 mins
Mong Kok,Hung Hom,11 mins
Mong Kok,Mong Kok East,15 mins
Mong Kok,Tai Wai,16 mins
Mong Kok,Sha Tin,19 mins
Mong Kok,Fo Tan,21 mins
Mong Kok,Racecourse,26 mins
Mong Kok,University,24 mins
Mong Kok,Tai Po Market,30 mins
Mong Kok,Tai Wo,32 mins
Mong Kok,Fanling,37 mins
Mong Kok,Sheung Shui,39 mins
Mong Kok,Lo Wu,43 mins
Mong Kok,Lok Ma Chau,49 mins
Mong Kok,East Tsim Sha Tsui,14 mins
Mong Kok,Sai Ying Pun,19 mins
Mong Kok,HKU,20 mins
Mong Kok,Kennedy Town,22 mins
Mong Kok,Ho Man Tin,6 mins
Mong Kok,Whampoa,8 mins
Mong Kok,Ocean Park,19 mins
Mong Kok,Wong Chuk Hang,21 mins
Mong Kok,Lei Tung,24 mins
Mong Kok,South Horizons,26 mins
Mong Kok,Hin Keng,22 mins
Mong Kok,Kai Tak,15 mins
Mong Kok,Sung Wong Toi,13 mins
Mong Kok,To Kwa Wan,11 mins
Mong Kok,Exhibition Centre,17 mins
Mong Kok,Che Kung Temple,23 mins
Mong Kok,Sha Tin Wai,25 mins
Mong Kok,City One,27 mins
Mong Kok,Shek Mun,28 mins
Mong Kok,Tai Shui Hang,32 mins
Mong Kok,Heng On,34 mins
Mong Kok,Ma On Shan,36 mins
Mong Kok,Wu Kai Sha,38 mins
Mong Kok,Austin,17 mins
Mong Kok,Tsuen Wan West,24 mins
Mong Kok,Kam Sheung Road,30 mins
Mong Kok,Yuen Long,34 mins
Mong Kok,Long Ping,36 mins
Mong Kok,Tin Shui Wai,38 mins
Mong Kok,Siu Hong,43 mins
Mong Kok,Tuen Mun,45 mins
Mong Kok,Hong Kong West Kowloon,21 mins
