Origin,Destination,Time
Ngau Tau Kok,Kwun Tong,3 mins
Ngau Tau Kok,Prince Edward,18 mins
Ngau Tau Kok,Sham Shui Po,21 mins
Ngau Tau Kok,Cheung Sha Wan,23 mins
Ngau Tau Kok,Lai Chi Kok,25 mins
Ngau Tau Kok,Mei Foo,27 mins
Ngau Tau Kok,Lai King,30 mins
Ngau Tau Kok,Kwai Fong,32 mins
Ngau Tau Kok,Kwai Hing,34 mins
Ngau Tau Kok,Tai Wo Hau,36 mins
Ngau Tau Kok,Tsuen Wan,38 mins
Ngau Tau Kok,Sheung Wan,30 mins
Ngau Tau Kok,Wan Chai,25 mins
Ngau Tau Kok,Causeway Bay,22 mins
Ngau Tau Kok,Tin Hau,20 mins
Ngau Tau Kok,Fortress Hill,19 mins
Ngau Tau Kok,North Point,14 mins
Ngau Tau Kok,Quarry Bay,13 mins
Ngau Tau Kok,Tai Koo,19 mins
Ngau Tau Kok,Sai Wan Ho,21 mins
Ngau Tau Kok,Shau Kei Wan,23 mins
Ngau Tau Kok,Heng Fa Chuen,25 mins
Ngau Tau Kok,Chai Wan,27 mins
Ngau Tau Kok,Lam Tin,5 mins
Ngau Tau Kok,Hong Kong,36 mins
Ngau Tau Kok,Kowloon,39 mins
Ngau Tau Kok,Olympic,36 mins
Ngau Tau Kok,Tsing Yi,36 mins
Ngau Tau Kok,Tung Chung,50 mins
Ngau Tau Kok,Airport,55 mins
Ngau Tau Kok,Yau Tong,7 mins
Ngau Tau Kok,Tiu Keng Leng,10 mins
Ngau Tau Kok,Tseung Kwan O,13 mins
Ngau Tau Kok,Hang Hau,16 mins
Ngau Tau Kok,Po Lam,18 mins
Ngau Tau Kok,Nam Cheong,32 mins
Ngau Tau Kok,Sunny Bay,43 mins
Ngau Tau Kok,Disneyland Resort,50 mins
Ngau Tau Kok,AsiaWorld-Expo,58 mins
Ngau Tau Kok,LOHAS Park,19 mins
Ngau Tau Kok,Hung Hom,23 mins
Ngau Tau Kok,Mong Kok East,22 mins
Ngau Tau Kok,Tai Wai,20 mins
Ngau Tau Kok,Sha Tin,25 mins
Ngau Tau Kok,Fo Tan,28 mins
Ngau Tau Kok,Racecourse,33 mins
Ngau Tau Kok,University,31 mins
Ngau Tau Kok,Tai Po Market,37 mins
Ngau Tau Kok,Tai Wo,39 mins
Ngau Tau Kok,Fanling,43 mins
Ngau Tau Kok,Sheung Shui,46 mins
Ngau Tau Kok,Lo Wu,50 mins
Ngau Tau Kok,Lok Ma Chau,56 mins
Ngau Tau Kok,East Tsim Sha Tsui,26 mins
Ngau Tau Kok,Sai Ying Pun,32 mins
Ngau Tau Kok,HKU,34 mins
Ngau Tau Kok,Kennedy Town,35 mins
Ngau Tau Kok,Ho Man Tin,21 mins
Ngau Tau Kok,Whampoa,27 mins
Ngau Tau Kok,Ocean Park,36 mins
Ngau Tau Kok,Wong Chuk Hang,37 mins
Ngau Tau Kok,Lei Tung,40 mins
Ngau Tau Kok,South Horizons,42 mins
Ngau Tau Kok,Hin Keng,17 mins
Ngau Tau Kok,Kai Tak,15 mins
Ngau Tau Kok,Sung Wong Toi,17 mins
Ngau Tau Kok,To Kwa Wan,19 mins
Ngau Tau Kok,Exhibition Centre,29 mins
Ngau Tau Kok,Che Kung Temple,21 mins
Ngau Tau Kok,Sha Tin Wai,23 mins
Ngau Tau Kok,City One,25 mins
Ngau Tau Kok,Shek Mun,27 mins
Ngau Tau Kok,Tai Shui Hang,31 mins
Ngau Tau Kok,Heng On,33 mins
Ngau Tau Kok,Ma On Shan,35 mins
Ngau Tau Kok,Wu Kai Sha,37 mins
Ngau Tau Kok,Austin,29 mins
Ngau Tau Kok,Tsuen Wan West,39 mins
Ngau Tau Kok,Kam Sheung Road,45 mins
Ngau Tau Kok,Yuen Long,49 mins
Ngau Tau Kok,Long Ping,51 mins
Ngau Tau Kok,Tin Shui Wai,53 mins
Ngau Tau Kok,Siu Hong,58 mins
Ngau Tau Kok,Tuen Mun,60 mins
Ngau Tau Kok,Hong Kong West Kowloon,33 mins
