Origin,Destination,Time
North Point,Quarry Bay,3 mins
North Point,Tai Koo,5 mins
North Point,Sai Wan Ho,6 mins
North Point,Shau Kei Wan,8 mins
North Point,Heng Fa Chuen,10 mins
North Point,Chai Wan,13 mins
North Point,Lam Tin,11 mins
North Point,Hong Kong,20 mins
North Point,Kowloon,24 mins
North Point,Olympic,27 mins
North Point,Tsing Yi,36 mins
North Point,Tung Chung,50 mins
North Point,Airport,46 mins
North Point,Yau Tong,7 mins
North Point,Tiu Keng Leng,10 mins
North Point,Tseung Kwan O,12 mins
North Point,Hang Hau,15 mins
North Point,Po Lam,17 mins
North Point,Nam Cheong,29 mins
North Point,Sunny Bay,44 mins
North Point,Disneyland Resort,50 mins
North Point,AsiaWorld-Expo,50 mins
North Point,LOHAS Park,18 mins
North Point,Hung Hom,20 mins
North Point,Mong Kok East,24 mins
North Point,Tai Wai,31 mins
North Point,Sha Tin,33 mins
North Point,Fo Tan,35 mins
North Point,Racecourse,40 mins
North Point,University,39 mins
North Point,Tai Po Market,44 mins
North Point,Tai Wo,46 mins
North Point,Fanling,51 mins
North Point,Sheung Shui,53 mins
North Point,Lo Wu,57 mins
North Point,Lok Ma Chau,63 mins
North Point,East Tsim Sha Tsui,26 mins
North Point,Sai Ying Pun,16 mins
North Point,HKU,18 mins
North Point,Kennedy Town,19 mins
North Point,Ho Man Tin,24 mins
North Point,Whampoa,27 mins
North Point,Ocean Park,20 mins
North Point,Wong Chuk Hang,22 mins
North Point,Lei Tung,24 mins
North Point,South Horizons,26 mins
North Point,Hin Keng,30 mins
North Point,Kai Tak,28 mins
North Point,Sung Wong Toi,29 mins
North Point,To Kwa Wan,27 mins
North Point,Exhibition Centre,17 mins
North Point,Che Kung Temple,35 mins
North Point,Sha Tin Wai,37 mins
North Point,City One,39 mins
North Point,Shek Mun,40 mins
North Point,Tai Shui Hang,44 mins
North Point,Heng On,46 mins
North Point,Ma On Shan,48 mins
North Point,Wu Kai Sha,50 mins
North Point,Austin,28 mins
North Point,Tsuen Wan West,39 mins
North Point,Kam Sheung Road,45 mins
North Point,Yuen Long,48 mins
North Point,Long Ping,50 mins
North Point,Tin Shui Wai,53 mins
North Point,Siu Hong,57 mins
North Point,Tuen Mun,60 mins
North Point,Hong Kong West Kowloon,32 mins
