Origin,Destination,Time
Ocean Park,Wong Chuk Hang,4 mins
Ocean Park,Lei Tung,6 mins
Ocean Park,South Horizons,8 mins
Ocean Park,Hin Keng,30 mins
Ocean Park,Kai Tak,24 mins
Ocean Park,Sung Wong Toi,22 mins
Ocean Park,To Kwa Wan,20 mins
Ocean Park,Exhibition Centre,10 mins
Ocean Park,Che Kung Temple,30 mins
Ocean Park,Sha Tin Wai,32 mins
Ocean Park,City One,34 mins
Ocean Park,Shek Mun,36 mins
Ocean Park,Tai Shui Hang,40 mins
Ocean Park,Heng On,42 mins
Ocean Park,Ma On Shan,44 mins
Ocean Park,Wu Kai Sha,46 mins
Ocean Park,Austin,22 mins
Ocean Park,Tsuen Wan West,32 mins
Ocean Park,Kam Sheung Road,38 mins
Ocean Park,Yuen Long,41 mins
Ocean Park,Long Ping,43 mins
Ocean Park,Tin Shui Wai,46 mins
Ocean Park,Siu Hong,51 mins
Ocean Park,Tuen Mun,53 mins
Ocean Park,Hong Kong West Kowloon,26 mins
