Origin,Destination,Time
Po Lam,Nam Cheong,47 mins
Po Lam,Sunny Bay,60 mins
Po Lam,Disneyland Resort,67 mins
Po Lam,AsiaWorld-Expo,68 mins
Po Lam,LOHAS Park,13 mins
Po Lam,Hung Hom,38 mins
Po Lam,Mong Kok East,38 mins
Po Lam,Tai Wai,36 mins
Po Lam,Sha Tin,42 mins
Po Lam,Fo Tan,45 mins
Po Lam,Racecourse,49 mins
Po Lam,University,48 mins
Po Lam,Tai Po Market,53 mins
Po Lam,Tai Wo,55 mins
Po Lam,Fanling,60 mins
Po Lam,Sheung Shui,62 mins
Po Lam,Lo Wu,67 mins
Po Lam,Lok Ma Chau,72 mins
Po Lam,East Tsim Sha Tsui,43 mins
Po Lam,Sai Ying Pun,35 mins
Po Lam,HKU,36 mins
Po Lam,Kennedy Town,37 mins
Po Lam,Ho Man Tin,38 mins
Po Lam,Whampoa,43 mins
Po Lam,Ocean Park,38 mins
Po Lam,Wong Chuk Hang,40 mins
Po Lam,Lei Tung,42 mins
Po Lam,South Horizons,44 mins
Po Lam,Hin Keng,34 mins
Po Lam,Kai Tak,32 mins
Po Lam,Sung Wong Toi,34 mins
Po Lam,To Kwa Wan,36 mins
Po Lam,Exhibition Centre,35 mins
Po Lam,Che Kung Temple,38 mins
Po Lam,Sha Tin Wai,40 mins
Po Lam,City One,42 mins
Po Lam,Shek Mun,44 mins
Po Lam,Tai Shui Hang,47 mins
Po Lam,Heng On,49 mins
Po Lam,Ma On Shan,52 mins
Po Lam,Wu Kai Sha,54 mins
Po Lam,Austin,46 mins
Po Lam,Tsuen Wan West,56 mins
Po Lam,Kam Sheung Road,62 mins
Po Lam,Yuen Long,65 mins
Po Lam,Long Ping,67 mins
Po Lam,Tin Shui Wai,70 mins
Po Lam,Siu Hong,75 mins
Po Lam,Tuen Mun,77 mins
Po Lam,Hong Kong West Kowloon,50 mins
