Origin,Destination,Time
Prince Edward,Sham Shui Po,3 mins
Prince Edward,Cheung Sha Wan,5 mins
Prince Edward,Lai Chi Kok,7 mins
Prince Edward,Mei Foo,9 mins
Prince Edward,Lai King,12 mins
Prince Edward,Kwai Fong,14 mins
Prince Edward,Kwai Hing,16 mins
Prince Edward,Tai Wo Hau,18 mins
Prince Edward,Tsuen Wan,20 mins
Prince Edward,Sheung Wan,19 mins
Prince Edward,Wan Chai,15 mins
Prince Edward,Causeway Bay,18 mins
Prince Edward,Tin Hau,20 mins
Prince Edward,Fortress Hill,21 mins
Prince Edward,North Point,23 mins
Prince Edward,Quarry Bay,25 mins
Prince Edward,Tai Koo,27 mins
Prince Edward,Sai Wan Ho,29 mins
Prince Edward,Shau Kei Wan,31 mins
Prince Edward,Heng Fa Chuen,33 mins
Prince Edward,Chai Wan,35 mins
Prince Edward,Lam Tin,22 mins
Prince Edward,Hong Kong,22 mins
Prince Edward,Kowloon,24 mins
Prince Edward,Olympic,21 mins
Prince Edward,Tsing Yi,17 mins
Prince Edward,Tung Chung,32 mins
Prince Edward,Airport,36 mins
Prince Edward,Yau Tong,24 mins
Prince Edward,Tiu Keng Leng,27 mins
Prince Edward,Tseung Kwan O,30 mins
Prince Edward,Hang Hau,33 mins
Prince Edward,Po Lam,35 mins
Prince Edward,Nam Cheong,19 mins
Prince Edward,Sunny Bay,25 mins
Prince Edward,Disneyland Resort,32 mins
Prince Edward,AsiaWorld-Expo,40 mins
Prince Edward,LOHAS Park,36 mins
Prince Edward,Hung Hom,13 mins
Prince Edward,Mong Kok East,13 mins
Prince Edward,Tai Wai,15 mins
Prince Edward,Sha Tin,17 mins
Prince Edward,Fo Tan,19 mins
Prince Edward,Racecourse,24 mins
Prince Edward,University,23 mins
Prince Edward,Tai Po Market,28 mins
Prince Edward,Tai Wo,30 mins
Prince Edward,Fanling,35 mins
Prince Edward,Sheung Shui,37 mins
Prince Edward,Lo Wu,41 mins
Prince Edward,Lok Ma Chau,47 mins
Prince Edward,East Tsim Sha Tsui,16 mins
Prince Edward,Sai Ying Pun,20 mins
Prince Edward,HKU,22 mins
Prince Edward,Kennedy Town,23 mins
Prince Edward,Ho Man Tin,7 mins
Prince Edward,Whampoa,10 mins
Prince Edward,Ocean Park,21 mins
Prince Edward,Wong Chuk Hang,23 mins
Prince Edward,Lei Tung,25 mins
Prince Edward,South Horizons,27 mins
Prince Edward,Hin Keng,21 mins
Prince Edward,Kai Tak,17 mins
Prince Edward,Sung Wong Toi,15 mins
Prince Edward,To Kwa Wan,13 mins
Prince Edward,Exhibition Centre,18 mins
Prince Edward,Che Kung Temple,21 mins
Prince Edward,Sha Tin Wai,23 mins
Prince Edward,City One,25 mins
Prince Edward,Shek Mun,27 mins
Prince Edward,Tai Shui Hang,30 mins
Prince Edward,Heng On,32 mins
Prince Edward,Ma On Shan,34 mins
Prince Edward,Wu Kai Sha,37 mins
Prince Edward,Austin,19 mins
Prince Edward,Tsuen Wan West,23 mins
Prince Edward,Kam Sheung Road,29 mins
Prince Edward,Yuen Long,32 mins
Prince Edward,Long Ping,34 mins
Prince Edward,Tin Shui Wai,37 mins
Prince Edward,Siu Hong,41 mins
Prince Edward,Tuen Mun,44 mins
Prince Edward,Hong Kong West Kowloon,22 mins
