Origin,Destination,Time
Racecourse,University,8 mins
Racecourse,Tai Po Market,13 mins
Racecourse,Tai Wo,16 mins
Racecourse,Fanling,20 mins
Racecourse,Sheung Shui,22 mins
Racecourse,Lo Wu,26 mins
Racecourse,Lok Ma Chau,29 mins
Racecourse,East Tsim Sha Tsui,27 mins
Racecourse,Sai Ying Pun,36 mins
Racecourse,HKU,37 mins
Racecourse,Kennedy Town,39 mins
Racecourse,Ho Man Tin,26 mins
Racecourse,Whampoa,33 mins
Racecourse,Ocean Park,34 mins
Racecourse,Wong Chuk Hang,36 mins
Racecourse,Lei Tung,38 mins
Racecourse,South Horizons,40 mins
Racecourse,Hin Keng,17 mins
Racecourse,Kai Tak,24 mins
Racecourse,Sung Wong Toi,26 mins
Racecourse,To Kwa Wan,28 mins
Racecourse,Exhibition Centre,25 mins
Racecourse,Che Kung Temple,17 mins
Racecourse,Sha Tin Wai,19 mins
Racecourse,City One,21 mins
Racecourse,Shek Mun,23 mins
Racecourse,Tai Shui Hang,26 mins
Racecourse,Heng On,28 mins
Racecourse,Ma On Shan,30 mins
Racecourse,Wu Kai Sha,33 mins
Racecourse,Austin,29 mins
Racecourse,Tsuen Wan West,40 mins
Racecourse,Kam Sheung Road,46 mins
Racecourse,Yuen Long,49 mins
Racecourse,Long Ping,51 mins
Racecourse,Tin Shui Wai,54 mins
Racecourse,Siu Hong,58 mins
Racecourse,Tuen Mun,61 mins
Racecourse,Hong Kong West Kowloon,33 mins
