Origin,Destination,Time
Sai Wan Ho,Shau Kei Wan,3 mins
Sai Wan Ho,Heng Fa Chuen,5 mins
Sai Wan Ho,Chai Wan,7 mins
Sai Wan Ho,Lam Tin,17 mins
Sai Wan Ho,Hong Kong,25 mins
Sai Wan Ho,Kowloon,30 mins
Sai Wan Ho,Olympic,32 mins
Sai Wan Ho,Tsing Yi,42 mins
Sai Wan Ho,Tung Chung,56 mins
Sai Wan Ho,Airport,51 mins
Sai Wan Ho,Yau Tong,14 mins
Sai Wan Ho,Tiu Keng Leng,17 mins
Sai Wan Ho,Tseung Kwan O,19 mins
Sai Wan Ho,Hang Hau,21 mins
Sai Wan Ho,Po Lam,23 mins
Sai Wan Ho,Nam Cheong,34 mins
Sai Wan Ho,Sunny Bay,49 mins
Sai Wan Ho,Disneyland Resort,56 mins
Sai Wan Ho,AsiaWorld-Expo,55 mins
Sai Wan Ho,LOHAS Park,25 mins
Sai Wan Ho,Hung Hom,26 mins
Sai Wan Ho,Mong Kok East,29 mins
Sai Wan Ho,Tai Wai,36 mins
Sai Wan Ho,Sha Tin,38 mins
Sai Wan Ho,Fo Tan,41 mins
Sai Wan Ho,Racecourse,46 mins
Sai Wan Ho,University,44 mins
Sai Wan Ho,Tai Po Market,50 mins
Sai Wan Ho,Tai Wo,52 mins
Sai Wan Ho,Fanling,57 mins
Sai Wan Ho,Sheung Shui,59 mins
Sai Wan Ho,Lo Wu,63 mins
Sai Wan Ho,Lok Ma Chau,69 mins
Sai Wan Ho,East Tsim Sha Tsui,31 mins
Sai Wan Ho,Sai Ying Pun,22 mins
Sai Wan Ho,HKU,23 mins
Sai Wan Ho,Kennedy Town,25 mins
Sai Wan Ho,Ho Man Tin,30 mins
Sai Wan Ho,Whampoa,32 mins
Sai Wan Ho,Ocean Park,25 mins
Sai Wan Ho,Wong Chuk Hang,27 mins
Sai Wan Ho,Lei Tung,30 mins
Sai Wan Ho,South Horizons,32 mins
Sai Wan Ho,Hin Keng,37 mins
Sai Wan Ho,Kai Tak,35 mins
Sai Wan Ho,Sung Wong Toi,35 mins
Sai Wan Ho,To Kwa Wan,33 mins
Sai Wan Ho,Exhibition Centre,22 mins
Sai Wan Ho,Che Kung Temple,41 mins
Sai Wan Ho,Sha Tin Wai,43 mins
Sai Wan Ho,City One,45 mins
Sai Wan Ho,Shek Mun,47 mins
Sai Wan Ho,Tai Shui Hang,50 mins
Sai Wan Ho,Heng On,52 mins
Sai Wan Ho,Ma On Shan,55 mins
Sai Wan Ho,Wu Kai Sha,57 mins
Sai Wan Ho,Austin,34 mins
Sai Wan Ho,Tsuen Wan West,44 mins
Sai Wan Ho,Kam Sheung Road,50 mins
Sai Wan Ho,Yuen Long,54 mins
Sai Wan Ho,Long Ping,56 mins
Sai Wan Ho,Tin Shui Wai,58 mins
Sai Wan Ho,Siu Hong,63 mins
Sai Wan Ho,Tuen Mun,65 mins
Sai Wan Ho,Hong Kong West Kowloon,38 mins
