Origin,Destination,Time
Sai Ying Pun,HKU,2 mins
Sai Ying Pun,Kennedy Town,4 mins
Sai Ying Pun,Ho Man Tin,21 mins
Sai Ying Pun,Whampoa,24 mins
Sai Ying Pun,Ocean Park,16 mins
Sai Ying Pun,Wong Chuk Hang,18 mins
Sai Ying Pun,Lei Tung,20 mins
Sai Ying Pun,South Horizons,22 mins
Sai Ying Pun,Hin Keng,33 mins
Sai Ying Pun,Kai Tak,27 mins
Sai Ying Pun,Sung Wong Toi,25 mins
Sai Ying Pun,To Kwa Wan,23 mins
Sai Ying Pun,Exhibition Centre,13 mins
Sai Ying Pun,Che Kung Temple,33 mins
Sai Ying Pun,Sha Tin Wai,35 mins
Sai Ying Pun,City One,37 mins
Sai Ying Pun,Shek Mun,39 mins
Sai Ying Pun,Tai Shui Hang,43 mins
Sai Ying Pun,Heng On,45 mins
Sai Ying Pun,Ma On Shan,47 mins
Sai Ying Pun,Wu Kai Sha,49 mins
Sai Ying Pun,Austin,25 mins
Sai Ying Pun,Tsuen Wan West,33 mins
Sai Ying Pun,Kam Sheung Road,39 mins
Sai Ying Pun,Yuen Long,42 mins
Sai Ying Pun,Long Ping,44 mins
Sai Ying Pun,Tin Shui Wai,47 mins
Sai Ying Pun,Siu Hong,51 mins
Sai Ying Pun,Tuen Mun,54 mins
Sai Ying Pun,Hong Kong West Kowloon,27 mins
