Origin,Destination,Time
Sha Tin,Fo Tan,4 mins
Sha Tin,Racecourse,9 mins
Sha Tin,University,7 mins
Sha Tin,Tai Po Market,13 mins
Sha Tin,Tai Wo,15 mins
Sha Tin,Fanling,20 mins
Sha Tin,Sheung Shui,22 mins
Sha Tin,Lo Wu,26 mins
Sha Tin,Lok Ma Chau,32 mins
Sha Tin,East Tsim Sha Tsui,19 mins
Sha Tin,Sai Ying Pun,28 mins
Sha Tin,HKU,30 mins
Sha Tin,Kennedy Town,31 mins
Sha Tin,Ho Man Tin,19 mins
Sha Tin,Whampoa,26 mins
Sha Tin,Ocean Park,26 mins
Sha Tin,Wong Chuk Hang,28 mins
Sha Tin,Lei Tung,31 mins
Sha Tin,South Horizons,33 mins
Sha Tin,Hin Keng,10 mins
Sha Tin,Kai Tak,17 mins
Sha Tin,Sung Wong Toi,18 mins
Sha Tin,To Kwa Wan,21 mins
Sha Tin,Exhibition Centre,18 mins
Sha Tin,Che Kung Temple,10 mins
Sha Tin,Sha Tin Wai,12 mins
Sha Tin,City One,14 mins
Sha Tin,Shek Mun,16 mins
Sha Tin,Tai Shui Hang,19 mins
Sha Tin,Heng On,21 mins
Sha Tin,Ma On Shan,23 mins
Sha Tin,Wu Kai Sha,25 mins
Sha Tin,Austin,22 mins
Sha Tin,Tsuen Wan West,33 mins
Sha Tin,Kam Sheung Road,39 mins
Sha Tin,Yuen Long,42 mins
Sha Tin,Long Ping,44 mins
Sha Tin,Tin Shui Wai,47 mins
Sha Tin,Siu Hong,51 mins
Sha Tin,Tuen Mun,54 mins
Sha Tin,Hong Kong West Kowloon,26 mins
