Origin,Destination,Time
Sham Shui Po,Cheung Sha Wan,3 mins
Sham Shui Po,Lai Chi Kok,5 mins
Sham Shui Po,Mei Foo,7 mins
Sham Shui Po,Lai King,10 mins
Sham Shui Po,Kwai Fong,12 mins
Sham Shui Po,Kwai Hing,14 mins
Sham Shui Po,Tai Wo Hau,16 mins
Sham Shui Po,Tsuen Wan,17 mins
Sham Shui Po,Sheung Wan,21 mins
Sham Shui Po,Wan Chai,17 mins
Sham Shui Po,Causeway Bay,20 mins
Sham Shui Po,Tin Hau,22 mins
Sham Shui Po,Fortress Hill,23 mins
Sham Shui Po,North Point,25 mins
Sham Shui Po,Quarry Bay,27 mins
Sham Shui Po,Tai Koo,29 mins
Sham Shui Po,Sai Wan Ho,31 mins
Sham Shui Po,Shau Kei Wan,33 mins
Sham Shui Po,Heng Fa Chuen,35 mins
Sham Shui Po,Chai Wan,37 mins
Sham Shui Po,Lam Tin,25 mins
Sham Shui Po,Hong Kong,24 mins
Sham Shui Po,Kowloon,22 mins
Sham Shui Po,Olympic,19 mins
Sham Shui Po,Tsing Yi,15 mins
Sham Shui Po,Tung Chung,30 mins
Sham Shui Po,Airport,34 mins
Sham Shui Po,Yau Tong,27 mins
Sham Shui Po,Tiu Keng Leng,30 mins
Sham Shui Po,Tseung Kwan O,33 mins
Sham Shui Po,Hang Hau,36 mins
Sham Shui Po,Po Lam,38 mins
Sham Shui Po,Nam Cheong,17 mins
Sham Shui Po,Sunny Bay,23 mins
Sham Shui Po,Disneyland Resort,30 mins
Sham Shui Po,AsiaWorld-Expo,38 mins
Sham Shui Po,LOHAS Park,39 mins
Sham Shui Po,Hung Hom,16 mins
Sham Shui Po,Mong Kok East,17 mins
Sham Shui Po,Tai Wai,18 mins
Sham Shui Po,Sha Tin,20 mins
Sham Shui Po,Fo Tan,23 mins
Sham Shui Po,Racecourse,27 mins
Sham Shui Po,University,26 mins
Sham Shui Po,Tai Po Market,31 mins
Sham Shui Po,Tai Wo,34 mins
Sham Shui Po,Fanling,38 mins
Sham Shui Po,Sheung Shui,40 mins
Sham Shui Po,Lo Wu,45 mins
Sham Shui Po,Lok Ma Chau,50 mins
Sham Shui Po,East Tsim Sha Tsui,19 mins
Sham Shui Po,Sai Ying Pun,22 mins
Sham Shui Po,HKU,24 mins
Sham Shui Po,Kennedy Town,25 mins
Sham Shui Po,Ho Man Tin,11 mins
Sham Shui Po,Whampoa,13 mins
Sham Shui Po,Ocean Park,23 mins
Sham Shui Po,Wong Chuk Hang,25 mins
Sham Shui Po,Lei Tung,28 mins
Sham Shui Po,South Horizons,29 mins
Sham Shui Po,Hin Keng,24 mins
Sham Shui Po,Kai Tak,20 mins
Sham Shui Po,Sung Wong Toi,19 mins
Sham Shui Po,To Kwa Wan,16 mins
Sham Shui Po,Exhibition Centre,20 mins
Sham Shui Po,Che Kung Temple,24 mins
Sham Shui Po,Sha Tin Wai,26 mins
Sham Shui Po,City One,28 mins
Sham Shui Po,Shek Mun,30 mins
Sham Shui Po,Tai Shui Hang,34 mins
Sham Shui Po,Heng On,36 mins
Sham Shui Po,Ma On Shan,38 mins
Sham Shui Po,Wu Kai Sha,40 mins
Sham Shui Po,Austin,22 mins
Sham Shui Po,Tsuen Wan West,20 mins
Sham Shui Po,Kam Sheung Road,26 mins
Sham Shui Po,Yuen Long,30 mins
Sham Shui Po,Long Ping,32 mins
Sham Shui Po,Tin Shui Wai,35 mins
Sham Shui Po,Siu Hong,39 mins
Sham Shui Po,Tuen Mun,42 mins
Sham Shui Po,Hong Kong West Kowloon,26 mins
