Origin,Destination,Time
Shau Kei Wan,Heng Fa Chuen,3 mins
Shau Kei Wan,Chai Wan,5 mins
Shau Kei Wan,Lam Tin,19 mins
Shau Kei Wan,Hong Kong,27 mins
Shau Kei Wan,Kowloon,32 mins
Shau Kei Wan,Olympic,34 mins
Shau Kei Wan,Tsing Yi,43 mins
Shau Kei Wan,Tung Chung,58 mins
Shau Kei Wan,Airport,53 mins
Shau Kei Wan,Yau Tong,15 mins
Shau Kei Wan,Tiu Keng Leng,18 mins
Shau Kei Wan,Tseung Kwan O,20 mins
Shau Kei Wan,Hang Hau,23 mins
Shau Kei Wan,Po Lam,25 mins
Shau Kei Wan,Nam Cheong,36 mins
Shau Kei Wan,Sunny Bay,51 mins
Shau Kei Wan,Disneyland Resort,58 mins
Shau Kei Wan,AsiaWorld-Expo,57 mins
Shau Kei Wan,LOHAS Park,26 mins
Shau Kei Wan,Hung Hom,28 mins
Shau Kei Wan,Mong Kok East,31 mins
Shau Kei Wan,Tai Wai,38 mins
Shau Kei Wan,Sha Tin,40 mins
Shau Kei Wan,Fo Tan,43 mins
Shau Kei Wan,Racecourse,47 mins
Shau Kei Wan,University,46 mins
Shau Kei Wan,Tai Po Market,51 mins
Shau Kei Wan,Tai Wo,54 mins
Shau Kei Wan,Fanling,58 mins
Shau Kei Wan,Sheung Shui,60 mins
Shau Kei Wan,Lo Wu,65 mins
Shau Kei Wan,Lok Ma Chau,70 mins
Shau Kei Wan,East Tsim Sha Tsui,33 mins
Shau Kei Wan,Sai Ying Pun,24 mins
Shau Kei Wan,HKU,25 mins
Shau Kei Wan,Kennedy Town,27 mins
Shau Kei Wan,Ho Man Tin,31 mins
Shau Kei Wan,Whampoa,34 mins
Shau Kei Wan,Ocean Park,27 mins
Shau Kei Wan,Wong Chuk Hang,29 mins
Shau Kei Wan,Lei Tung,32 mins
Shau Kei Wan,South Horizons,33 mins
Shau Kei Wan,Hin Keng,39 mins
Shau Kei Wan,Kai Tak,37 mins
Shau Kei Wan,Sung Wong Toi,36 mins
Shau Kei Wan,To Kwa Wan,34 mins
Shau Kei Wan,Exhibition Centre,24 mins
Shau Kei Wan,Che Kung Temple,43 mins
Shau Kei Wan,Sha Tin Wai,45 mins
Shau Kei Wan,City One,47 mins
Shau Kei Wan,Shek Mun,49 mins
Shau Kei Wan,Tai Shui Hang,52 mins
Shau Kei Wan,Heng On,54 mins
Shau Kei Wan,Ma On Shan,56 mins
Shau Kei Wan,Wu Kai Sha,59 mins
Shau Kei Wan,Austin,36 mins
Shau Kei Wan,Tsuen Wan West,46 mins
Shau Kei Wan,Kam Sheung Road,52 mins
Shau Kei Wan,Yuen Long,55 mins
Shau Kei Wan,Long Ping,57 mins
Shau Kei Wan,Tin Shui Wai,60 mins
Shau Kei Wan,Siu Hong,65 mins
Shau Kei Wan,Tuen Mun,67 mins
Shau Kei Wan,Hong Kong West Kowloon,40 mins
