Origin,Destination,Time
Shek Kip Mei,Kowloon Tong,3 mins
Shek Kip Mei,Lok Fu,6 mins
Shek Kip Mei,Wong Tai Sin,8 mins
Shek Kip Mei,Diamond Hill,9 mins
Shek Kip Mei,Choi Hung,11 mins
Shek Kip Mei,Kowloon Bay,14 mins
Shek Kip Mei,Ngau Tau Kok,16 mins
Shek Kip Mei,Kwun Tong,18 mins
Shek Kip Mei,Prince Edward,3 mins
Shek Kip Mei,Sham Shui Po,6 mins
Shek Kip Mei,Cheung Sha Wan,8 mins
Shek Kip Mei,Lai Chi Kok,10 mins
Shek Kip Mei,Mei Foo,12 mins
Shek Kip Mei,Lai King,15 mins
Shek Kip Mei,Kwai Fong,17 mins
Shek Kip Mei,Kwai Hing,19 mins
Shek Kip Mei,Tai Wo Hau,21 mins
Shek Kip Mei,Tsuen Wan,23 mins
Shek Kip Mei,Sheung Wan,22 mins
Shek Kip Mei,Wan Chai,19 mins
Shek Kip Mei,Causeway Bay,21 mins
Shek Kip Mei,Tin Hau,23 mins
Shek Kip Mei,Fortress Hill,25 mins
Shek Kip Mei,North Point,26 mins
Shek Kip Mei,Quarry Bay,28 mins
Shek Kip Mei,Tai Koo,30 mins
Shek Kip Mei,Sai Wan Ho,32 mins
Shek Kip Mei,Shau Kei Wan,34 mins
Shek Kip Mei,Heng Fa Chuen,36 mins
Shek Kip Mei,Chai Wan,38 mins
Shek Kip Mei,Lam Tin,20 mins
Shek Kip Mei,Hong Kong,26 mins
Shek Kip Mei,Kowloon,27 mins
Shek Kip Mei,Olympic,25 mins
Shek Kip Mei,Tsing Yi,21 mins
Shek Kip Mei,Tung Chung,35 mins
Shek Kip Mei,Airport,40 mins
Shek Kip Mei,Yau Tong,22 mins
Shek Kip Mei,Tiu Keng Leng,25 mins
Shek Kip Mei,Tseung Kwan O,28 mins
Shek Kip Mei,Hang Hau,31 mins
Shek Kip Mei,Po Lam,33 mins
Shek Kip Mei,Nam Cheong,23 mins
Shek Kip Mei,Sunny Bay,28 mins
Shek Kip Mei,Disneyland Resort,35 mins
Shek Kip Mei,AsiaWorld-Expo,43 mins
Shek Kip Mei,LOHAS Park,34 mins
Shek Kip Mei,Hung Hom,15 mins
Shek Kip Mei,Mong Kok East,11 mins
Shek Kip Mei,Tai Wai,13 mins
Shek Kip Mei,Sha Tin,15 mins
Shek Kip Mei,Fo Tan,18 mins
Shek Kip Mei,Racecourse,22 mins
Shek Kip Mei,University,21 mins
Shek Kip Mei,Tai Po Market,26 mins
Shek Kip Mei,Tai Wo,28 mins
Shek Kip Mei,Fanling,33 mins
Shek Kip Mei,Sheung Shui,35 mins
Shek Kip Mei,Lo Wu,40 mins
Shek Kip Mei,Lok Ma Chau,45 mins
Shek Kip Mei,East Tsim Sha Tsui,18 mins
Shek Kip Mei,Sai Ying Pun,24 mins
Shek Kip Mei,HKU,25 mins
Shek Kip Mei,Kennedy Town,26 mins
Shek Kip Mei,Ho Man Tin,9 mins
Shek Kip Mei,Whampoa,12 mins
Shek Kip Mei,Ocean Park,24 mins
Shek Kip Mei,Wong Chuk Hang,26 mins
Shek Kip Mei,Lei Tung,29 mins
Shek Kip Mei,South Horizons,30 mins
Shek Kip Mei,Hin Keng,19 mins
Shek Kip Mei,Kai Tak,17 mins
Shek Kip Mei,Sung Wong Toi,17 mins
Shek Kip Mei,To Kwa Wan,15 mins
Shek Kip Mei,Exhibition Centre,19 mins
Shek Kip Mei,Che Kung Temple,19 mins
Shek Kip Mei,Sha Tin Wai,21 mins
Shek Kip Mei,City One,23 mins
Shek Kip Mei,Shek Mun,25 mins
Shek Kip Mei,Tai Shui Hang,28 mins
Shek Kip Mei,Heng On,30 mins
Shek Kip Mei,Ma On Shan,33 mins
Shek Kip Mei,Wu Kai Sha,35 mins
Shek Kip Mei,Austin,20 mins
Shek Kip Mei,Tsuen Wan West,26 mins
Shek Kip Mei,Kam Sheung Road,32 mins
Shek Kip Mei,Yuen Long,35 mins
Shek Kip Mei,Long Ping,37 mins
Shek Kip Mei,Tin Shui Wai,40 mins
Shek Kip Mei,Siu Hong,44 mins
Shek Kip Mei,Tuen Mun,47 mins
Shek Kip Mei,Hong Kong West Kowloon,24 mins
