Origin,Destination,Time
Sheung Shui,Lo Wu,6 mins
Sheung Shui,Lok Ma Chau,12 mins
Sheung Shui,East Tsim Sha Tsui,40 mins
Sheung Shui,Sai Ying Pun,49 mins
Sheung Shui,HKU,50 mins
Sheung Shui,Kennedy Town,52 mins
Sheung Shui,Ho Man Tin,39 mins
Sheung Shui,Whampoa,46 mins
Sheung Shui,Ocean Park,47 mins
Sheung Shui,Wong Chuk Hang,49 mins
Sheung Shui,Lei Tung,51 mins
Sheung Shui,South Horizons,53 mins
Sheung Shui,Hin Keng,30 mins
Sheung Shui,Kai Tak,37 mins
Sheung Shui,Sung Wong Toi,39 mins
Sheung Shui,To Kwa Wan,41 mins
Sheung Shui,Exhibition Centre,38 mins
Sheung Shui,Che Kung Temple,30 mins
Sheung Shui,Sha Tin Wai,32 mins
Sheung Shui,City One,34 mins
Sheung Shui,Shek Mun,36 mins
Sheung Shui,Tai Shui Hang,39 mins
Sheung Shui,Heng On,41 mins
Sheung Shui,Ma On Shan,43 mins
Sheung Shui,Wu Kai Sha,46 mins
Sheung Shui,Austin,42 mins
Sheung Shui,Tsuen Wan West,53 mins
Sheung Shui,Kam Sheung Road,59 mins
Sheung Shui,Yuen Long,62 mins
Sheung Shui,Long Ping,64 mins
Sheung Shui,Tin Shui Wai,67 mins
Sheung Shui,Siu Hong,71 mins
Sheung Shui,Tuen Mun,74 mins
Sheung Shui,Hong Kong West Kowloon,46 mins
