Origin,Destination,Time
South Horizons,Hin Keng,37 mins
South Horizons,Kai Tak,31 mins
South Horizons,Sung Wong Toi,29 mins
South Horizons,To Kwa Wan,27 mins
South Horizons,Exhibition Centre,16 mins
South Horizons,Che Kung Temple,37 mins
South Horizons,Sha Tin Wai,39 mins
South Horizons,City One,41 mins
South Horizons,Shek Mun,42 mins
South Horizons,Tai Shui Hang,46 mins
South Horizons,Heng On,48 mins
South Horizons,Ma On Shan,50 mins
South Horizons,Wu Kai Sha,52 mins
South Horizons,Austin,28 mins
South Horizons,Tsuen Wan West,38 mins
South Horizons,Kam Sheung Road,44 mins
South Horizons,Yuen Long,48 mins
South Horizons,Long Ping,50 mins
South Horizons,Tin Shui Wai,52 mins
South Horizons,Siu Hong,57 mins
South Horizons,Tuen Mun,59 mins
South Horizons,Hong Kong West Kowloon,32 mins
