Origin,Destination,Time
Sung Wong Toi,To Kwa Wan,4 mins
Sung Wong Toi,Exhibition Centre,14 mins
Sung Wong Toi,Che Kung Temple,15 mins
Sung Wong Toi,Sha Tin Wai,17 mins
Sung Wong Toi,City One,19 mins
Sung Wong Toi,Shek Mun,21 mins
Sung Wong Toi,Tai Shui Hang,24 mins
Sung Wong Toi,Heng On,26 mins
Sung Wong Toi,Ma On Shan,28 mins
Sung Wong Toi,Wu Kai Sha,30 mins
Sung Wong Toi,Austin,13 mins
Sung Wong Toi,Tsuen Wan West,24 mins
Sung Wong Toi,Kam Sheung Road,30 mins
Sung Wong Toi,Yuen Long,33 mins
Sung Wong Toi,Long Ping,35 mins
Sung Wong Toi,Tin Shui Wai,38 mins
Sung Wong Toi,Siu Hong,42 mins
Sung Wong Toi,Tuen Mun,45 mins
Sung Wong Toi,Hong Kong West Kowloon,17 mins
