Origin,Destination,Time
Sunny Bay,Disneyland Resort,6 mins
Sunny Bay,AsiaWorld-Expo,32 mins
Sunny Bay,LOHAS Park,61 mins
Sunny Bay,Hung Hom,30 mins
Sunny Bay,Mong Kok East,36 mins
Sunny Bay,Tai Wai,40 mins
Sunny Bay,Sha Tin,42 mins
Sunny Bay,Fo Tan,45 mins
Sunny Bay,Racecourse,50 mins
Sunny Bay,University,48 mins
Sunny Bay,Tai Po Market,54 mins
Sunny Bay,Tai Wo,56 mins
Sunny Bay,Fanling,60 mins
Sunny Bay,Sheung Shui,63 mins
Sunny Bay,Lo Wu,67 mins
Sunny Bay,Lok Ma Chau,73 mins
Sunny Bay,East Tsim Sha Tsui,27 mins
Sunny Bay,Sai Ying Pun,36 mins
Sunny Bay,HKU,37 mins
Sunny Bay,Kennedy Town,39 mins
Sunny Bay,Ho Man Tin,32 mins
Sunny Bay,Whampoa,35 mins
Sunny Bay,Ocean Park,43 mins
Sunny Bay,Wong Chuk Hang,45 mins
Sunny Bay,Lei Tung,48 mins
Sunny Bay,South Horizons,49 mins
Sunny Bay,Hin Keng,45 mins
Sunny Bay,Kai Tak,38 mins
Sunny Bay,Sung Wong Toi,36 mins
Sunny Bay,To Kwa Wan,34 mins
Sunny Bay,Exhibition Centre,36 mins
Sunny Bay,Che Kung Temple,46 mins
Sunny Bay,Sha Tin Wai,48 mins
Sunny Bay,City One,50 mins
Sunny Bay,Shek Mun,52 mins
Sunny Bay,Tai Shui Hang,56 mins
Sunny Bay,Heng On,58 mins
Sunny Bay,Ma On Shan,60 mins
Sunny Bay,Wu Kai Sha,62 mins
Sunny Bay,Austin,24 mins
Sunny Bay,Tsuen Wan West,26 mins
Sunny Bay,Kam Sheung Road,32 mins
Sunny Bay,Yuen Long,36 mins
Sunny Bay,Long Ping,37 mins
Sunny Bay,Tin Shui Wai,40 mins
Sunny Bay,Siu Hong,45 mins
Sunny Bay,Tuen Mun,47 mins
Sunny Bay,Hong Kong West Kowloon,28 mins
