Origin,Destination,Time
Tai Koo,Sai Wan Ho,3 mins
Tai Koo,Shau Kei Wan,4 mins
Tai Koo,Heng Fa Chuen,6 mins
Tai Koo,Chai Wan,9 mins
Tai Koo,Lam Tin,16 mins
Tai Koo,Hong Kong,24 mins
Tai Koo,Kowloon,28 mins
Tai Koo,Olympic,31 mins
Tai Koo,Tsing Yi,40 mins
Tai Koo,Tung Chung,54 mins
Tai Koo,Airport,50 mins
Tai Koo,Yau Tong,12 mins
Tai Koo,Tiu Keng Leng,15 mins
Tai Koo,Tseung Kwan O,17 mins
Tai Koo,Hang Hau,20 mins
Tai Koo,Po Lam,22 mins
Tai Koo,Nam Cheong,33 mins
Tai Koo,Sunny Bay,48 mins
Tai Koo,Disneyland Resort,54 mins
Tai Koo,AsiaWorld-Expo,53 mins
Tai Koo,LOHAS Park,23 mins
Tai Koo,Hung Hom,24 mins
Tai Koo,Mong Kok East,28 mins
Tai Koo,Tai Wai,35 mins
Tai Koo,Sha Tin,37 mins
Tai Koo,Fo Tan,39 mins
Tai Koo,Racecourse,44 mins
Tai Koo,University,43 mins
Tai Koo,Tai Po Market,48 mins
Tai Koo,Tai Wo,50 mins
Tai Koo,Fanling,55 mins
Tai Koo,Sheung Shui,57 mins
Tai Koo,Lo Wu,61 mins
Tai Koo,Lok Ma Chau,67 mins
Tai Koo,East Tsim Sha Tsui,29 mins
Tai Koo,Sai Ying Pun,20 mins
Tai Koo,HKU,22 mins
Tai Koo,Kennedy Town,23 mins
Tai Koo,Ho Man Tin,28 mins
Tai Koo,Whampoa,31 mins
Tai Koo,Ocean Park,24 mins
Tai Koo,Wong Chuk Hang,26 mins
Tai Koo,Lei Tung,28 mins
Tai Koo,South Horizons,30 mins
Tai Koo,Hin Keng,35 mins
Tai Koo,Kai Tak,33 mins
Tai Koo,Sung Wong Toi,33 mins
Tai Koo,To Kwa Wan,31 mins
Tai Koo,Exhibition Centre,21 mins
Tai Koo,Che Kung Temple,40 mins
Tai Koo,Sha Tin Wai,41 mins
Tai Koo,City One,44 mins
Tai Koo,Shek Mun,45 mins
Tai Koo,Tai Shui Hang,49 mins
Tai Koo,Heng On,51 mins
Tai Koo,Ma On Shan,53 mins
Tai Koo,Wu Kai Sha,55 mins
Tai Koo,Austin,32 mins
Tai Koo,Tsuen Wan West,43 mins
Tai Koo,Kam Sheung Road,49 mins
Tai Koo,Yuen Long,52 mins
Tai Koo,Long Ping,54 mins
Tai Koo,Tin Shui Wai,57 mins
Tai Koo,Siu Hong,61 mins
Tai Koo,Tuen Mun,64 mins
Tai Koo,Hong Kong West Kowloon,36 mins
