Origin,Destination,Time
Tai Po Market,Tai Wo,4 mins
Tai Po Market,Fanling,9 mins
Tai Po Market,Sheung Shui,11 mins
Tai Po Market,Lo Wu,15 mins
Tai Po Market,Lok Ma Chau,21 mins
Tai Po Market,East Tsim Sha Tsui,31 mins
Tai Po Market,Sai Ying Pun,40 mins
Tai Po Market,HKU,41 mins
Tai Po Market,Kennedy Town,43 mins
Tai Po Market,Ho Man Tin,30 mins
Tai Po Market,Whampoa,37 mins
Tai Po Market,Ocean Park,38 mins
Tai Po Market,Wong Chuk Hang,40 mins
Tai Po Market,Lei Tung,42 mins
Tai Po Market,South Horizons,44 mins
Tai Po Market,Hin Keng,21 mins
Tai Po Market,Kai Tak,28 mins
Tai Po Market,Sung Wong Toi,30 mins
Tai Po Market,To Kwa Wan,32 mins
Tai Po Market,Exhibition Centre,29 mins
Tai Po Market,Che Kung Temple,21 mins
Tai Po Market,Sha Tin Wai,23 mins
Tai Po Market,City One,25 mins
Tai Po Market,Shek Mun,27 mins
Tai Po Market,Tai Shui Hang,30 mins
Tai Po Market,Heng On,32 mins
Tai Po Market,Ma On Shan,34 mins
Tai Po Market,Wu Kai Sha,37 mins
Tai Po Market,Austin,33 mins
Tai Po Market,Tsuen Wan West,44 mins
Tai Po Market,Kam Sheung Road,50 mins
Tai Po Market,Yuen Long,53 mins
Tai Po Market,Long Ping,55 mins
Tai Po Market,Tin Shui Wai,58 mins
Tai Po Market,Siu Hong,62 mins
Tai Po Market,Tuen Mun,65 mins
Tai Po Market,Hong Kong West Kowloon,37 mins
