Origin,Destination,Time
Tai Wai,Sha Tin,4 mins
Tai Wai,Fo Tan,6 mins
Tai Wai,Racecourse,11 mins
Tai Wai,University,9 mins
Tai Wai,Tai Po Market,15 mins
Tai Wai,Tai Wo,17 mins
Tai Wai,Fanling,22 mins
Tai Wai,Sheung Shui,24 mins
Tai Wai,Lo Wu,28 mins
Tai Wai,Lok Ma Chau,34 mins
Tai Wai,East Tsim Sha Tsui,17 mins
Tai Wai,Sai Ying Pun,26 mins
Tai Wai,HKU,28 mins
Tai Wai,Kennedy Town,29 mins
Tai Wai,Ho Man Tin,17 mins
Tai Wai,Whampoa,23 mins
Tai Wai,Ocean Park,24 mins
Tai Wai,Wong Chuk Hang,26 mins
Tai Wai,Lei Tung,29 mins
Tai Wai,South Horizons,31 mins
Tai Wai,Hin Keng,4 mins
Tai Wai,Kai Tak,11 mins
Tai Wai,Sung Wong Toi,13 mins
Tai Wai,To Kwa Wan,15 mins
Tai Wai,Exhibition Centre,15 mins
Tai Wai,Che Kung Temple,3 mins
Tai Wai,Sha Tin Wai,5 mins
Tai Wai,City One,7 mins
Tai Wai,Shek Mun,9 mins
Tai Wai,Tai Shui Hang,13 mins
Tai Wai,Heng On,15 mins
Tai Wai,Ma On Shan,17 mins
Tai Wai,Wu Kai Sha,19 mins
Tai Wai,Austin,20 mins
Tai Wai,Tsuen Wan West,30 mins
Tai Wai,Kam Sheung Road,36 mins
Tai Wai,Yuen Long,40 mins
Tai Wai,Long Ping,42 mins
Tai Wai,Tin Shui Wai,45 mins
Tai Wai,Siu Hong,49 mins
Tai Wai,Tuen Mun,52 mins
Tai Wai,Hong Kong West Kowloon,24 mins
