Origin,Destination,Time
Tai Wo Hau,Tsuen Wan,3 mins
Tai Wo Hau,Sheung Wan,30 mins
Tai Wo Hau,Wan Chai,32 mins
Tai Wo Hau,Causeway Bay,35 mins
Tai Wo Hau,Tin Hau,37 mins
Tai Wo Hau,Fortress Hill,38 mins
Tai Wo Hau,North Point,40 mins
Tai Wo Hau,Quarry Bay,42 mins
Tai Wo Hau,Tai Koo,44 mins
Tai Wo Hau,Sai Wan Ho,46 mins
Tai Wo Hau,Shau Kei Wan,47 mins
Tai Wo Hau,Heng Fa Chuen,50 mins
Tai Wo Hau,Chai Wan,52 mins
Tai Wo Hau,Lam Tin,40 mins
Tai Wo Hau,Hong Kong,21 mins
Tai Wo Hau,Kowloon,18 mins
Tai Wo Hau,Olympic,15 mins
Tai Wo Hau,Tsing Yi,14 mins
Tai Wo Hau,Tung Chung,29 mins
Tai Wo Hau,Airport,33 mins
Tai Wo Hau,Yau Tong,42 mins
Tai Wo Hau,Tiu Keng Leng,45 mins
Tai Wo Hau,Tseung Kwan O,48 mins
Tai Wo Hau,Hang Hau,51 mins
Tai Wo Hau,Po Lam,53 mins
Tai Wo Hau,Nam Cheong,13 mins
Tai Wo Hau,Sunny Bay,22 mins
Tai Wo Hau,Disneyland Resort,29 mins
Tai Wo Hau,AsiaWorld-Expo,37 mins
Tai Wo Hau,LOHAS Park,54 mins
Tai Wo Hau,Hung Hom,26 mins
Tai Wo Hau,Mong Kok East,31 mins
Tai Wo Hau,Tai Wai,33 mins
Tai Wo Hau,Sha Tin,35 mins
Tai Wo Hau,Fo Tan,38 mins
Tai Wo Hau,Racecourse,42 mins
Tai Wo Hau,University,41 mins
Tai Wo Hau,Tai Po Market,46 mins
Tai Wo Hau,Tai Wo,48 mins
Tai Wo Hau,Fanling,53 mins
Tai Wo Hau,Sheung Shui,55 mins
Tai Wo Hau,Lo Wu,60 mins
Tai Wo Hau,Lok Ma Chau,65 mins
Tai Wo Hau,East Tsim Sha Tsui,23 mins
Tai Wo Hau,Sai Ying Pun,32 mins
Tai Wo Hau,HKU,34 mins
Tai Wo Hau,Kennedy Town,35 mins
Tai Wo Hau,Ho Man Tin,26 mins
Tai Wo Hau,Whampoa,28 mins
Tai Wo Hau,Ocean Park,38 mins
Tai Wo Hau,Wong Chuk Hang,40 mins
Tai Wo Hau,Lei Tung,42 mins
Tai Wo Hau,South Horizons,44 mins
Tai Wo Hau,Hin Keng,39 mins
Tai Wo Hau,Kai Tak,34 mins
Tai Wo Hau,Sung Wong Toi,32 mins
Tai Wo Hau,To Kwa Wan,30 mins
Tai Wo Hau,Exhibition Centre,32 mins
Tai Wo Hau,Che Kung Temple,39 mins
Tai Wo Hau,Sha Tin Wai,41 mins
Tai Wo Hau,City One,43 mins
Tai Wo Hau,Shek Mun,45 mins
Tai Wo Hau,Tai Shui Hang,48 mins
Tai Wo Hau,Heng On,50 mins
Tai Wo Hau,Ma On Shan,53 mins
Tai Wo Hau,Wu Kai Sha,55 mins
Tai Wo Hau,Austin,20 mins
Tai Wo Hau,Tsuen Wan West,23 mins
Tai Wo Hau,Kam Sheung Road,29 mins
Tai Wo Hau,Yuen Long,32 mins
Tai Wo Hau,Long Ping,34 mins
Tai Wo Hau,Tin Shui Wai,37 mins
Tai Wo Hau,Siu Hong,41 mins
Tai Wo Hau,Tuen Mun,44 mins
Tai Wo Hau,Hong Kong West Kowloon,24 mins
