Origin,Destination,Time
Tin Hau,Fortress Hill,3 mins
Tin Hau,North Point,4 mins
Tin Hau,Quarry Bay,6 mins
Tin Hau,Tai Koo,8 mins
Tin Hau,Sai Wan Ho,10 mins
Tin Hau,Shau Kei Wan,12 mins
Tin Hau,Heng Fa Chuen,14 mins
Tin Hau,Chai Wan,16 mins
Tin Hau,Lam Tin,17 mins
Tin Hau,Hong Kong,16 mins
Tin Hau,Kowloon,21 mins
Tin Hau,Olympic,23 mins
Tin Hau,Tsing Yi,33 mins
Tin Hau,Tung Chung,47 mins
Tin Hau,Airport,42 mins
Tin Hau,Yau Tong,13 mins
Tin Hau,Tiu Keng Leng,16 mins
Tin Hau,Tseung Kwan O,18 mins
Tin Hau,Hang Hau,21 mins
Tin Hau,Po Lam,23 mins
Tin Hau,Nam Cheong,25 mins
Tin Hau,Sunny Bay,40 mins
Tin Hau,Disneyland Resort,47 mins
Tin Hau,AsiaWorld-Expo,46 mins
Tin Hau,LOHAS Park,24 mins
Tin Hau,Hung Hom,17 mins
Tin Hau,Mong Kok East,20 mins
Tin Hau,Tai Wai,27 mins
Tin Hau,Sha Tin,29 mins
Tin Hau,Fo Tan,32 mins
Tin Hau,Racecourse,37 mins
Tin Hau,University,35 mins
Tin Hau,Tai Po Market,41 mins
Tin Hau,Tai Wo,43 mins
Tin Hau,Fanling,48 mins
Tin Hau,Sheung Shui,50 mins
Tin Hau,Lo Wu,54 mins
Tin Hau,Lok Ma Chau,60 mins
Tin Hau,East Tsim Sha Tsui,22 mins
Tin Hau,Sai Ying Pun,13 mins
Tin Hau,HKU,14 mins
Tin Hau,Kennedy Town,16 mins
Tin Hau,Ho Man Tin,21 mins
Tin Hau,Whampoa,23 mins
Tin Hau,Ocean Park,16 mins
Tin Hau,Wong Chuk Hang,18 mins
Tin Hau,Lei Tung,21 mins
Tin Hau,South Horizons,23 mins
Tin Hau,Hin Keng,34 mins
Tin Hau,Kai Tak,28 mins
Tin Hau,Sung Wong Toi,26 mins
Tin Hau,To Kwa Wan,24 mins
Tin Hau,Exhibition Centre,13 mins
Tin Hau,Che Kung Temple,34 mins
Tin Hau,Sha Tin Wai,35 mins
Tin Hau,City One,38 mins
Tin Hau,Shek Mun,39 mins
Tin Hau,Tai Shui Hang,43 mins
Tin Hau,Heng On,45 mins
Tin Hau,Ma On Shan,47 mins
Tin Hau,Wu Kai Sha,49 mins
Tin Hau,Austin,25 mins
Tin Hau,Tsuen Wan West,35 mins
Tin Hau,Kam Sheung Road,41 mins
Tin Hau,Yuen Long,45 mins
Tin Hau,Long Ping,47 mins
Tin Hau,Tin Shui Wai,49 mins
Tin Hau,Siu Hong,54 mins
Tin Hau,Tuen Mun,56 mins
Tin Hau,Hong Kong West Kowloon,29 mins
