Origin,Destination,Time
Tiu Keng Leng,Tseung Kwan O,3 mins
Tiu Keng Leng,Hang Hau,6 mins
Tiu Keng Leng,Po Lam,8 mins
Tiu Keng Leng,Nam Cheong,40 mins
Tiu Keng Leng,Sunny Bay,52 mins
Tiu Keng Leng,Disneyland Resort,59 mins
Tiu Keng Leng,AsiaWorld-Expo,61 mins
Tiu Keng Leng,LOHAS Park,9 mins
Tiu Keng Leng,Hung Hom,32 mins
Tiu Keng Leng,Mong Kok East,31 mins
Tiu Keng Leng,Tai Wai,28 mins
Tiu Keng Leng,Sha Tin,34 mins
Tiu Keng Leng,Fo Tan,37 mins
Tiu Keng Leng,Racecourse,41 mins
Tiu Keng Leng,University,40 mins
Tiu Keng Leng,Tai Po Market,45 mins
Tiu Keng Leng,Tai Wo,48 mins
Tiu Keng Leng,Fanling,52 mins
Tiu Keng Leng,Sheung Shui,54 mins
Tiu Keng Leng,Lo Wu,59 mins
Tiu Keng Leng,Lok Ma Chau,64 mins
Tiu Keng Leng,East Tsim Sha Tsui,35 mins
Tiu Keng Leng,Sai Ying Pun,28 mins
Tiu Keng Leng,HKU,30 mins
Tiu Keng Leng,Kennedy Town,31 mins
Tiu Keng Leng,Ho Man Tin,30 mins
Tiu Keng Leng,Whampoa,35 mins
Tiu Keng Leng,Ocean Park,31 mins
Tiu Keng Leng,Wong Chuk Hang,33 mins
Tiu Keng Leng,Lei Tung,36 mins
Tiu Keng Leng,South Horizons,38 mins
Tiu Keng Leng,Hin Keng,26 mins
Tiu Keng Leng,Kai Tak,24 mins
Tiu Keng Leng,Sung Wong Toi,26 mins
Tiu Keng Leng,To Kwa Wan,28 mins
Tiu Keng Leng,Exhibition Centre,28 mins
Tiu Keng Leng,Che Kung Temple,30 mins
Tiu Keng Leng,Sha Tin Wai,32 mins
Tiu Keng Leng,City One,34 mins
Tiu Keng Leng,Shek Mun,36 mins
Tiu Keng Leng,Tai Shui Hang,39 mins
Tiu Keng Leng,Heng On,41 mins
Tiu Keng Leng,Ma On Shan,44 mins
Tiu Keng Leng,Wu Kai Sha,46 mins
Tiu Keng Leng,Austin,38 mins
Tiu Keng Leng,Tsuen Wan West,48 mins
Tiu Keng Leng,Kam Sheung Road,54 mins
Tiu Keng Leng,Yuen Long,58 mins
Tiu Keng Leng,Long Ping,59 mins
Tiu Keng Leng,Tin Shui Wai,62 mins
Tiu Keng Leng,Siu Hong,67 mins
Tiu Keng Leng,Tuen Mun,69 mins
Tiu Keng Leng,Hong Kong West Kowloon,42 mins
