Origin,Destination,Time
To Kwa Wan,Exhibition Centre,12 mins
To Kwa Wan,Che Kung Temple,17 mins
To Kwa Wan,Sha Tin Wai,19 mins
To Kwa Wan,City One,21 mins
To Kwa Wan,Shek Mun,23 mins
To Kwa Wan,Tai Shui Hang,26 mins
To Kwa Wan,Heng On,28 mins
To Kwa Wan,Ma On Shan,30 mins
To Kwa Wan,Wu Kai Sha,33 mins
To Kwa Wan,Austin,11 mins
To Kwa Wan,Tsuen Wan West,22 mins
To Kwa Wan,Kam Sheung Road,28 mins
To Kwa Wan,Yuen Long,31 mins
To Kwa Wan,Long Ping,33 mins
To Kwa Wan,Tin Shui Wai,36 mins
To Kwa Wan,Siu Hong,40 mins
To Kwa Wan,Tuen Mun,43 mins
To Kwa Wan,Hong Kong West Kowloon,15 mins
