Origin,Destination,Time
Tseung Kwan O,Hang Hau,4 mins
Tseung Kwan O,Po Lam,6 mins
Tseung Kwan O,Nam Cheong,42 mins
Tseung Kwan O,Sunny Bay,56 mins
Tseung Kwan O,Disneyland Resort,62 mins
Tseung Kwan O,AsiaWorld-Expo,63 mins
Tseung Kwan O,LOHAS Park,7 mins
Tseung Kwan O,Hung Hom,34 mins
Tseung Kwan O,Mong Kok East,34 mins
Tseung Kwan O,Tai Wai,32 mins
Tseung Kwan O,Sha Tin,38 mins
Tseung Kwan O,Fo Tan,40 mins
Tseung Kwan O,Racecourse,45 mins
Tseung Kwan O,University,43 mins
Tseung Kwan O,Tai Po Market,49 mins
Tseung Kwan O,Tai Wo,51 mins
Tseung Kwan O,Fanling,56 mins
Tseung Kwan O,Sheung Shui,58 mins
Tseung Kwan O,Lo Wu,62 mins
Tseung Kwan O,Lok Ma Chau,68 mins
Tseung Kwan O,East Tsim Sha Tsui,38 mins
Tseung Kwan O,Sai Ying Pun,30 mins
Tseung Kwan O,HKU,32 mins
Tseung Kwan O,Kennedy Town,33 mins
Tseung Kwan O,Ho Man Tin,33 mins
Tseung Kwan O,Whampoa,39 mins
Tseung Kwan O,Ocean Park,33 mins
Tseung Kwan O,Wong Chuk Hang,35 mins
Tseung Kwan O,Lei Tung,38 mins
Tseung Kwan O,South Horizons,40 mins
Tseung Kwan O,Hin Keng,29 mins
Tseung Kwan O,Kai Tak,27 mins
Tseung Kwan O,Sung Wong Toi,29 mins
Tseung Kwan O,To Kwa Wan,31 mins
Tseung Kwan O,Exhibition Centre,30 mins
Tseung Kwan O,Che Kung Temple,34 mins
Tseung Kwan O,Sha Tin Wai,36 mins
Tseung Kwan O,City One,38 mins
Tseung Kwan O,Shek Mun,39 mins
Tseung Kwan O,Tai Shui Hang,43 mins
Tseung Kwan O,Heng On,45 mins
Tseung Kwan O,Ma On Shan,47 mins
Tseung Kwan O,Wu Kai Sha,49 mins
Tseung Kwan O,Austin,41 mins
Tseung Kwan O,Tsuen Wan West,52 mins
Tseung Kwan O,Kam Sheung Road,58 mins
Tseung Kwan O,Yuen Long,61 mins
Tseung Kwan O,Long Ping,63 mins
Tseung Kwan O,Tin Shui Wai,66 mins
Tseung Kwan O,Siu Hong,70 mins
Tseung Kwan O,Tuen Mun,73 mins
Tseung Kwan O,Hong Kong West Kowloon,45 mins
