Origin,Destination,Time
Tsim Sha Tsui,Jordan,3 mins
Tsim Sha Tsui,Yau Ma Tei,5 mins
Tsim Sha Tsui,Mong Kok,7 mins
Tsim Sha Tsui,Shek Kip Mei,12 mins
Tsim Sha Tsui,Kowloon Tong,14 mins
Tsim Sha Tsui,Lok Fu,16 mins
Tsim Sha Tsui,Wong Tai Sin,18 mins
Tsim Sha Tsui,Diamond Hill,20 mins
Tsim Sha Tsui,Choi Hung,22 mins
Tsim Sha Tsui,Kowloon Bay,24 mins
Tsim Sha Tsui,Ngau Tau Kok,27 mins
Tsim Sha Tsui,Kwun Tong,28 mins
Tsim Sha Tsui,Prince Edward,8 mins
Tsim Sha Tsui,Sham Shui Po,11 mins
Tsim Sha Tsui,Cheung Sha Wan,12 mins
Tsim Sha Tsui,Lai Chi Kok,14 mins
Tsim Sha Tsui,Mei Foo,16 mins
Tsim Sha Tsui,Lai King,19 mins
Tsim Sha Tsui,Kwai Fong,21 mins
Tsim Sha Tsui,Kwai Hing,23 mins
Tsim Sha Tsui,Tai Wo Hau,25 mins
Tsim Sha Tsui,Tsuen Wan,27 mins
Tsim Sha Tsui,Sheung Wan,11 mins
Tsim Sha Tsui,Wan Chai,8 mins
Tsim Sha Tsui,Causeway Bay,10 mins
Tsim Sha Tsui,Tin Hau,12 mins
Tsim Sha Tsui,Fortress Hill,14 mins
Tsim Sha Tsui,North Point,16 mins
Tsim Sha Tsui,Quarry Bay,18 mins
Tsim Sha Tsui,Tai Koo,20 mins
Tsim Sha Tsui,Sai Wan Ho,21 mins
Tsim Sha Tsui,Shau Kei Wan,23 mins
Tsim Sha Tsui,Heng Fa Chuen,25 mins
Tsim Sha Tsui,Chai Wan,28 mins
Tsim Sha Tsui,Lam Tin,28 mins
Tsim Sha Tsui,Hong Kong,15 mins
Tsim Sha Tsui,Kowloon,20 mins
Tsim Sha Tsui,Olympic,22 mins
Tsim Sha Tsui,Tsing Yi,25 mins
Tsim Sha Tsui,Tung Chung,39 mins
Tsim Sha Tsui,Airport,41 mins
Tsim Sha Tsui,Yau Tong,24 mins
Tsim Sha Tsui,Tiu Keng Leng,27 mins
Tsim Sha Tsui,Tseung Kwan O,29 mins
Tsim Sha Tsui,Hang Hau,32 mins
Tsim Sha Tsui,Po Lam,34 mins
Tsim Sha Tsui,Nam Cheong,17 mins
Tsim Sha Tsui,Sunny Bay,33 mins
Tsim Sha Tsui,Disneyland Resort,39 mins
Tsim Sha Tsui,AsiaWorld-Expo,45 mins
Tsim Sha Tsui,LOHAS Park,35 mins
Tsim Sha Tsui,Hung Hom,14 mins
Tsim Sha Tsui,Mong Kok East,18 mins
Tsim Sha Tsui,Tai Wai,23 mins
Tsim Sha Tsui,Sha Tin,26 mins
Tsim Sha Tsui,Fo Tan,28 mins
Tsim Sha Tsui,Racecourse,33 mins
Tsim Sha Tsui,University,31 mins
Tsim Sha Tsui,Tai Po Market,37 mins
Tsim Sha Tsui,Tai Wo,39 mins
Tsim Sha Tsui,Fanling,44 mins
Tsim Sha Tsui,Sheung Shui,46 mins
Tsim Sha Tsui,Lo Wu,50 mins
Tsim Sha Tsui,Lok Ma Chau,56 mins
Tsim Sha Tsui,East Tsim Sha Tsui,11 mins
Tsim Sha Tsui,Sai Ying Pun,13 mins
Tsim Sha Tsui,HKU,14 mins
Tsim Sha Tsui,Kennedy Town,16 mins
Tsim Sha Tsui,Ho Man Tin,9 mins
Tsim Sha Tsui,Whampoa,12 mins
Tsim Sha Tsui,Ocean Park,14 mins
Tsim Sha Tsui,Wong Chuk Hang,15 mins
Tsim Sha Tsui,Lei Tung,18 mins
Tsim Sha Tsui,South Horizons,20 mins
Tsim Sha Tsui,Hin Keng,26 mins
Tsim Sha Tsui,Kai Tak,19 mins
Tsim Sha Tsui,Sung Wong Toi,17 mins
Tsim Sha Tsui,To Kwa Wan,15 mins
Tsim Sha Tsui,Exhibition Centre,11 mins
Tsim Sha Tsui,Che Kung Temple,30 mins
Tsim Sha Tsui,Sha Tin Wai,32 mins
Tsim Sha Tsui,City One,34 mins
Tsim Sha Tsui,Shek Mun,35 mins
Tsim Sha Tsui,Tai Shui Hang,39 mins
Tsim Sha Tsui,Heng On,41 mins
Tsim Sha Tsui,Ma On Shan,43 mins
Tsim Sha Tsui,Wu Kai Sha,45 mins
Tsim Sha Tsui,Austin,14 mins
Tsim Sha Tsui,Tsuen Wan West,25 mins
Tsim Sha Tsui,Kam Sheung Road,31 mins
Tsim Sha Tsui,Yuen Long,34 mins
Tsim Sha Tsui,Long Ping,36 mins
Tsim Sha Tsui,Tin Shui Wai,39 mins
Tsim Sha Tsui,Siu Hong,43 mins
Tsim Sha Tsui,Tuen Mun,46 mins
Tsim Sha Tsui,Hong Kong West Kowloon,18 mins
