Origin,Destination,Time
Tsing Yi,Tung Chung,16 mins
Tsing Yi,Airport,14 mins
Tsing Yi,Yau Tong,41 mins
Tsing Yi,Tiu Keng Leng,44 mins
Tsing Yi,Tseung Kwan O,48 mins
Tsing Yi,Hang Hau,51 mins
Tsing Yi,Po Lam,52 mins
Tsing Yi,Nam Cheong,9 mins
Tsing Yi,Sunny Bay,10 mins
Tsing Yi,Disneyland Resort,16 mins
Tsing Yi,AsiaWorld-Expo,18 mins
Tsing Yi,LOHAS Park,54 mins
Tsing Yi,Hung Hom,22 mins
Tsing Yi,Mong Kok East,28 mins
Tsing Yi,Tai Wai,32 mins
Tsing Yi,Sha Tin,35 mins
Tsing Yi,Fo Tan,37 mins
Tsing Yi,Racecourse,42 mins
Tsing Yi,University,40 mins
Tsing Yi,Tai Po Market,46 mins
Tsing Yi,Tai Wo,48 mins
Tsing Yi,Fanling,53 mins
Tsing Yi,Sheung Shui,55 mins
Tsing Yi,Lo Wu,59 mins
Tsing Yi,Lok Ma Chau,65 mins
Tsing Yi,East Tsim Sha Tsui,19 mins
Tsing Yi,Sai Ying Pun,28 mins
Tsing Yi,HKU,30 mins
Tsing Yi,Kennedy Town,31 mins
Tsing Yi,Ho Man Tin,24 mins
Tsing Yi,Whampoa,28 mins
Tsing Yi,Ocean Park,35 mins
Tsing Yi,Wong Chuk Hang,37 mins
Tsing Yi,Lei Tung,40 mins
Tsing Yi,South Horizons,42 mins
Tsing Yi,Hin Keng,37 mins
Tsing Yi,Kai Tak,30 mins
Tsing Yi,Sung Wong Toi,28 mins
Tsing Yi,To Kwa Wan,26 mins
Tsing Yi,Exhibition Centre,28 mins
Tsing Yi,Che Kung Temple,39 mins
Tsing Yi,Sha Tin Wai,41 mins
Tsing Yi,City One,43 mins
Tsing Yi,Shek Mun,44 mins
Tsing Yi,Tai Shui Hang,48 mins
Tsing Yi,Heng On,50 mins
Tsing Yi,Ma On Shan,52 mins
Tsing Yi,Wu Kai Sha,54 mins
Tsing Yi,Austin,16 mins
Tsing Yi,Tsuen Wan West,18 mins
Tsing Yi,Kam Sheung Road,24 mins
Tsing Yi,Yuen Long,28 mins
Tsing Yi,Long Ping,30 mins
Tsing Yi,Tin Shui Wai,32 mins
Tsing Yi,Siu Hong,37 mins
Tsing Yi,Tuen Mun,39 mins
Tsing Yi,Hong Kong West Kowloon,20 mins
