Origin,Destination,Time
Tsuen Wan,Sheung Wan,32 mins
Tsuen Wan,Wan Chai,34 mins
Tsuen Wan,Causeway Bay,36 mins
Tsuen Wan,Tin Hau,38 mins
Tsuen Wan,Fortress Hill,40 mins
Tsuen Wan,North Point,42 mins
Tsuen Wan,Quarry Bay,44 mins
Tsuen Wan,Tai Koo,46 mins
Tsuen Wan,Sai Wan Ho,47 mins
Tsuen Wan,Shau Kei Wan,49 mins
Tsuen Wan,Heng Fa Chuen,51 mins
Tsuen Wan,Chai Wan,54 mins
Tsuen Wan,Lam Tin,41 mins
Tsuen Wan,Hong Kong,22 mins
Tsuen Wan,Kowloon,19 mins
Tsuen Wan,Olympic,17 mins
Tsuen Wan,Tsing Yi,16 mins
Tsuen Wan,Tung Chung,30 mins
Tsuen Wan,Airport,35 mins
Tsuen Wan,Yau Tong,44 mins
Tsuen Wan,Tiu Keng Leng,46 mins
Tsuen Wan,Tseung Kwan O,50 mins
Tsuen Wan,Hang Hau,53 mins
Tsuen Wan,Po Lam,54 mins
Tsuen Wan,Nam Cheong,15 mins
Tsuen Wan,Sunny Bay,24 mins
Tsuen Wan,Disneyland Resort,30 mins
Tsuen Wan,AsiaWorld-Expo,39 mins
Tsuen Wan,LOHAS Park,56 mins
Tsuen Wan,Hung Hom,28 mins
Tsuen Wan,Mong Kok East,33 mins
Tsuen Wan,Tai Wai,34 mins
Tsuen Wan,Sha Tin,37 mins
Tsuen Wan,Fo Tan,39 mins
Tsuen Wan,Racecourse,44 mins
Tsuen Wan,University,42 mins
Tsuen Wan,Tai Po Market,48 mins
Tsuen Wan,Tai Wo,50 mins
Tsuen Wan,Fanling,55 mins
Tsuen Wan,Sheung Shui,57 mins
Tsuen Wan,Lo Wu,61 mins
Tsuen Wan,Lok Ma Chau,67 mins
Tsuen Wan,East Tsim Sha Tsui,25 mins
Tsuen Wan,Sai Ying Pun,34 mins
Tsuen Wan,HKU,35 mins
Tsuen Wan,Kennedy Town,37 mins
Tsuen Wan,Ho Man Tin,27 mins
Tsuen Wan,Whampoa,30 mins
Tsuen Wan,Ocean Park,39 mins
Tsuen Wan,Wong Chuk Hang,41 mins
Tsuen Wan,Lei Tung,44 mins
Tsuen Wan,South Horizons,46 mins
Tsuen Wan,Hin Keng,40 mins
Tsuen Wan,Kai Tak,36 mins
Tsuen Wan,Sung Wong Toi,34 mins
Tsuen Wan,To Kwa Wan,32 mins
Tsuen Wan,Exhibition Centre,34 mins
Tsuen Wan,Che Kung Temple,41 mins
Tsuen Wan,Sha Tin Wai,43 mins
Tsuen Wan,City One,45 mins
Tsuen Wan,Shek Mun,47 mins
Tsuen Wan,Tai Shui Hang,50 mins
Tsuen Wan,Heng On,52 mins
Tsuen Wan,Ma On Shan,54 mins
Tsuen Wan,Wu Kai Sha,56 mins
Tsuen Wan,Austin,22 mins
Tsuen Wan,Tsuen Wan West,24 mins
Tsuen Wan,Kam Sheung Road,30 mins
Tsuen Wan,Yuen Long,34 mins
Tsuen Wan,Long Ping,35 mins
Tsuen Wan,Tin Shui Wai,38 mins
Tsuen Wan,Siu Hong,43 mins
Tsuen Wan,Tuen Mun,45 mins
Tsuen Wan,Hong Kong West Kowloon,26 mins
