Origin,Destination,Time
Tung Chung,Airport,35 mins
Tung Chung,Yau Tong,56 mins
Tung Chung,Tiu Keng Leng,59 mins
Tung Chung,Tseung Kwan O,62 mins
Tung Chung,Hang Hau,65 mins
Tung Chung,Po Lam,67 mins
Tung Chung,Nam Cheong,23 mins
Tung Chung,Sunny Bay,10 mins
Tung Chung,Disneyland Resort,18 mins
Tung Chung,AsiaWorld-Expo,38 mins
Tung Chung,LOHAS Park,68 mins
Tung Chung,Hung Hom,36 mins
Tung Chung,Mong Kok East,42 mins
Tung Chung,Tai Wai,47 mins
Tung Chung,Sha Tin,49 mins
Tung Chung,Fo Tan,51 mins
Tung Chung,Racecourse,56 mins
Tung Chung,University,55 mins
Tung Chung,Tai Po Market,60 mins
Tung Chung,Tai Wo,62 mins
Tung Chung,Fanling,67 mins
Tung Chung,Sheung Shui,69 mins
Tung Chung,Lo Wu,73 mins
Tung Chung,Lok Ma Chau,79 mins
Tung Chung,East Tsim Sha Tsui,33 mins
Tung Chung,Sai Ying Pun,42 mins
Tung Chung,HKU,44 mins
Tung Chung,Kennedy Town,45 mins
Tung Chung,Ho Man Tin,38 mins
Tung Chung,Whampoa,42 mins
Tung Chung,Ocean Park,50 mins
Tung Chung,Wong Chuk Hang,51 mins
Tung Chung,Lei Tung,54 mins
Tung Chung,South Horizons,56 mins
Tung Chung,Hin Keng,51 mins
Tung Chung,Kai Tak,44 mins
Tung Chung,Sung Wong Toi,42 mins
Tung Chung,To Kwa Wan,40 mins
Tung Chung,Exhibition Centre,42 mins
Tung Chung,Che Kung Temple,53 mins
Tung Chung,Sha Tin Wai,55 mins
Tung Chung,City One,57 mins
Tung Chung,Shek Mun,59 mins
Tung Chung,Tai Shui Hang,62 mins
Tung Chung,Heng On,64 mins
Tung Chung,Ma On Shan,66 mins
Tung Chung,Wu Kai Sha,69 mins
Tung Chung,Austin,30 mins
Tung Chung,Tsuen Wan West,33 mins
Tung Chung,Kam Sheung Road,39 mins
Tung Chung,Yuen Long,42 mins
Tung Chung,Long Ping,44 mins
Tung Chung,Tin Shui Wai,47 mins
Tung Chung,Siu Hong,51 mins
Tung Chung,Tuen Mun,54 mins
Tung Chung,Hong Kong West Kowloon,34 mins
