Origin,Destination,Time
University,Tai Po Market,7 mins
University,Tai Wo,9 mins
University,Fanling,14 mins
University,Sheung Shui,16 mins
University,Lo Wu,20 mins
University,Lok Ma Chau,26 mins
University,East Tsim Sha Tsui,25 mins
University,Sai Ying Pun,34 mins
University,HKU,36 mins
University,Kennedy Town,37 mins
University,Ho Man Tin,25 mins
University,Whampoa,31 mins
University,Ocean Park,32 mins
University,Wong Chuk Hang,34 mins
University,Lei Tung,37 mins
University,South Horizons,39 mins
University,Hin Keng,15 mins
University,Kai Tak,22 mins
University,Sung Wong Toi,24 mins
University,To Kwa Wan,26 mins
University,Exhibition Centre,23 mins
University,Che Kung Temple,16 mins
University,Sha Tin Wai,17 mins
University,City One,20 mins
University,Shek Mun,21 mins
University,Tai Shui Hang,25 mins
University,Heng On,27 mins
University,Ma On Shan,29 mins
University,Wu Kai Sha,31 mins
University,Austin,28 mins
University,Tsuen Wan West,38 mins
University,Kam Sheung Road,44 mins
University,Yuen Long,48 mins
University,Long Ping,50 mins
University,Tin Shui Wai,53 mins
University,Siu Hong,57 mins
University,Tuen Mun,60 mins
University,Hong Kong West Kowloon,32 mins
