Origin,Destination,Time
Wan Chai,Causeway Bay,3 mins
Wan Chai,Tin Hau,5 mins
Wan Chai,Fortress Hill,7 mins
Wan Chai,North Point,9 mins
Wan Chai,Quarry Bay,11 mins
Wan Chai,Tai Koo,13 mins
Wan Chai,Sai Wan Ho,14 mins
Wan Chai,Shau Kei Wan,16 mins
Wan Chai,Heng Fa Chuen,18 mins
Wan Chai,Chai Wan,21 mins
Wan Chai,Lam Tin,21 mins
Wan Chai,Hong Kong,12 mins
Wan Chai,Kowloon,17 mins
Wan Chai,Olympic,19 mins
Wan Chai,Tsing Yi,28 mins
Wan Chai,Tung Chung,42 mins
Wan Chai,Airport,38 mins
Wan Chai,Yau Tong,17 mins
Wan Chai,Tiu Keng Leng,20 mins
Wan Chai,Tseung Kwan O,22 mins
Wan Chai,Hang Hau,25 mins
Wan Chai,Po Lam,27 mins
Wan Chai,Nam Cheong,21 mins
Wan Chai,Sunny Bay,36 mins
Wan Chai,Disneyland Resort,43 mins
Wan Chai,AsiaWorld-Expo,42 mins
Wan Chai,LOHAS Park,28 mins
Wan Chai,Hung Hom,12 mins
Wan Chai,Mong Kok East,16 mins
Wan Chai,Tai Wai,23 mins
Wan Chai,Sha Tin,25 mins
Wan Chai,Fo Tan,28 mins
Wan Chai,Racecourse,32 mins
Wan Chai,University,31 mins
Wan Chai,Tai Po Market,36 mins
Wan Chai,Tai Wo,38 mins
Wan Chai,Fanling,43 mins
Wan Chai,Sheung Shui,45 mins
Wan Chai,Lo Wu,50 mins
Wan Chai,Lok Ma Chau,55 mins
Wan Chai,East Tsim Sha Tsui,18 mins
Wan Chai,Sai Ying Pun,9 mins
Wan Chai,HKU,10 mins
Wan Chai,Kennedy Town,11 mins
Wan Chai,Ho Man Tin,16 mins
Wan Chai,Whampoa,19 mins
Wan Chai,Ocean Park,12 mins
Wan Chai,Wong Chuk Hang,14 mins
Wan Chai,Lei Tung,16 mins
Wan Chai,South Horizons,18 mins
Wan Chai,Hin Keng,29 mins
Wan Chai,Kai Tak,23 mins
Wan Chai,Sung Wong Toi,21 mins
Wan Chai,To Kwa Wan,19 mins
Wan Chai,Exhibition Centre,9 mins
Wan Chai,Che Kung Temple,29 mins
Wan Chai,Sha Tin Wai,31 mins
Wan Chai,City One,33 mins
Wan Chai,Shek Mun,35 mins
Wan Chai,Tai Shui Hang,38 mins
Wan Chai,Heng On,40 mins
Wan Chai,Ma On Shan,43 mins
Wan Chai,Wu Kai Sha,45 mins
Wan Chai,Austin,20 mins
Wan Chai,Tsuen Wan West,31 mins
Wan Chai,Kam Sheung Road,37 mins
Wan Chai,Yuen Long,40 mins
Wan Chai,Long Ping,42 mins
Wan Chai,Tin Shui Wai,45 mins
Wan Chai,Siu Hong,49 mins
Wan Chai,Tuen Mun,52 mins
Wan Chai,Hong Kong West Kowloon,24 mins
