Origin,Destination,Time
Whampoa,Ocean Park,24 mins
Whampoa,Wong Chuk Hang,26 mins
Whampoa,Lei Tung,29 mins
Whampoa,South Horizons,31 mins
Whampoa,Hin Keng,20 mins
Whampoa,Kai Tak,13 mins
Whampoa,Sung Wong Toi,12 mins
Whampoa,To Kwa Wan,9 mins
Whampoa,Exhibition Centre,16 mins
Whampoa,Che Kung Temple,25 mins
Whampoa,Sha Tin Wai,27 mins
Whampoa,City One,29 mins
Whampoa,Shek Mun,31 mins
Whampoa,Tai Shui Hang,34 mins
Whampoa,Heng On,36 mins
Whampoa,Ma On Shan,38 mins
Whampoa,Wu Kai Sha,41 mins
Whampoa,Austin,15 mins
Whampoa,Tsuen Wan West,26 mins
Whampoa,Kam Sheung Road,32 mins
Whampoa,Yuen Long,35 mins
Whampoa,Long Ping,37 mins
Whampoa,Tin Shui Wai,40 mins
Whampoa,Siu Hong,44 mins
Whampoa,Tuen Mun,47 mins
Whampoa,Hong Kong West Kowloon,19 mins
