Origin,Destination,Time
Wong Chuk Hang,Lei Tung,4 mins
Wong Chuk Hang,South Horizons,6 mins
Wong Chuk Hang,Hin Keng,32 mins
Wong Chuk Hang,Kai Tak,26 mins
Wong Chuk Hang,Sung Wong Toi,24 mins
Wong Chuk Hang,To Kwa Wan,22 mins
Wong Chuk Hang,Exhibition Centre,12 mins
Wong Chuk Hang,Che Kung Temple,32 mins
Wong Chuk Hang,Sha Tin Wai,34 mins
Wong Chuk Hang,City One,36 mins
Wong Chuk Hang,Shek Mun,38 mins
Wong Chuk Hang,Tai Shui Hang,41 mins
Wong Chuk Hang,Heng On,43 mins
Wong Chuk Hang,Ma On Shan,46 mins
Wong Chuk Hang,Wu Kai Sha,48 mins
Wong Chuk Hang,Austin,24 mins
Wong Chuk Hang,Tsuen Wan West,34 mins
Wong Chuk Hang,Kam Sheung Road,40 mins
Wong Chuk Hang,Yuen Long,43 mins
Wong Chuk Hang,Long Ping,45 mins
Wong Chuk Hang,Tin Shui Wai,48 mins
Wong Chuk Hang,Siu Hong,53 mins
Wong Chuk Hang,Tuen Mun,55 mins
Wong Chuk Hang,Hong Kong West Kowloon,27 mins
