Origin,Destination,Time
Wong Tai Sin,Diamond Hill,3 mins
Wong Tai Sin,Choi Hung,5 mins
Wong Tai Sin,Kowloon Bay,7 mins
Wong Tai Sin,Ngau Tau Kok,10 mins
Wong Tai Sin,Kwun Tong,11 mins
Wong Tai Sin,Prince Edward,10 mins
Wong Tai Sin,Sham Shui Po,13 mins
Wong Tai Sin,Cheung Sha Wan,15 mins
Wong Tai Sin,Lai Chi Kok,17 mins
Wong Tai Sin,Mei Foo,19 mins
Wong Tai Sin,Lai King,21 mins
Wong Tai Sin,Kwai Fong,24 mins
Wong Tai Sin,Kwai Hing,25 mins
Wong Tai Sin,Tai Wo Hau,28 mins
Wong Tai Sin,Tsuen Wan,29 mins
Wong Tai Sin,Sheung Wan,28 mins
Wong Tai Sin,Wan Chai,25 mins
Wong Tai Sin,Causeway Bay,27 mins
Wong Tai Sin,Tin Hau,29 mins
Wong Tai Sin,Fortress Hill,27 mins
Wong Tai Sin,North Point,23 mins
Wong Tai Sin,Quarry Bay,21 mins
Wong Tai Sin,Tai Koo,28 mins
Wong Tai Sin,Sai Wan Ho,29 mins
Wong Tai Sin,Shau Kei Wan,31 mins
Wong Tai Sin,Heng Fa Chuen,33 mins
Wong Tai Sin,Chai Wan,36 mins
Wong Tai Sin,Lam Tin,13 mins
Wong Tai Sin,Hong Kong,32 mins
Wong Tai Sin,Kowloon,33 mins
Wong Tai Sin,Olympic,31 mins
Wong Tai Sin,Tsing Yi,27 mins
Wong Tai Sin,Tung Chung,41 mins
Wong Tai Sin,Airport,46 mins
Wong Tai Sin,Yau Tong,15 mins
Wong Tai Sin,Tiu Keng Leng,18 mins
Wong Tai Sin,Tseung Kwan O,22 mins
Wong Tai Sin,Hang Hau,25 mins
Wong Tai Sin,Po Lam,26 mins
Wong Tai Sin,Nam Cheong,27 mins
Wong Tai Sin,Sunny Bay,35 mins
Wong Tai Sin,Disneyland Resort,42 mins
Wong Tai Sin,AsiaWorld-Expo,50 mins
Wong Tai Sin,LOHAS Park,28 mins
Wong Tai Sin,Hung Hom,17 mins
Wong Tai Sin,Mong Kok East,13 mins
Wong Tai Sin,Tai Wai,15 mins
Wong Tai Sin,Sha Tin,17 mins
Wong Tai Sin,Fo Tan,19 mins
Wong Tai Sin,Racecourse,24 mins
Wong Tai Sin,University,23 mins
Wong Tai Sin,Tai Po Market,28 mins
Wong Tai Sin,Tai Wo,30 mins
Wong Tai Sin,Fanling,35 mins
Wong Tai Sin,Sheung Shui,37 mins
Wong Tai Sin,Lo Wu,41 mins
Wong Tai Sin,Lok Ma Chau,47 mins
Wong Tai Sin,East Tsim Sha Tsui,21 mins
Wong Tai Sin,Sai Ying Pun,30 mins
Wong Tai Sin,HKU,32 mins
Wong Tai Sin,Kennedy Town,33 mins
Wong Tai Sin,Ho Man Tin,16 mins
Wong Tai Sin,Whampoa,18 mins
Wong Tai Sin,Ocean Park,29 mins
Wong Tai Sin,Wong Chuk Hang,31 mins
Wong Tai Sin,Lei Tung,34 mins
Wong Tai Sin,South Horizons,36 mins
Wong Tai Sin,Hin Keng,12 mins
Wong Tai Sin,Kai Tak,10 mins
Wong Tai Sin,Sung Wong Toi,12 mins
Wong Tai Sin,To Kwa Wan,14 mins
Wong Tai Sin,Exhibition Centre,21 mins
Wong Tai Sin,Che Kung Temple,17 mins
Wong Tai Sin,Sha Tin Wai,19 mins
Wong Tai Sin,City One,21 mins
Wong Tai Sin,Shek Mun,22 mins
Wong Tai Sin,Tai Shui Hang,26 mins
Wong Tai Sin,Heng On,28 mins
Wong Tai Sin,Ma On Shan,30 mins
Wong Tai Sin,Wu Kai Sha,32 mins
Wong Tai Sin,Austin,24 mins
Wong Tai Sin,Tsuen Wan West,32 mins
Wong Tai Sin,Kam Sheung Road,38 mins
Wong Tai Sin,Yuen Long,42 mins
Wong Tai Sin,Long Ping,44 mins
Wong Tai Sin,Tin Shui Wai,46 mins
Wong Tai Sin,Siu Hong,51 mins
Wong Tai Sin,Tuen Mun,53 mins
Wong Tai Sin,Hong Kong West Kowloon,28 mins
