Origin,Destination,Time
Yau Ma Tei,Mong Kok,3 mins
Yau Ma Tei,Shek Kip Mei,7 mins
Yau Ma Tei,Kowloon Tong,9 mins
Yau Ma Tei,Lok Fu,11 mins
Yau Ma Tei,Wong Tai Sin,13 mins
Yau Ma Tei,Diamond Hill,15 mins
Yau Ma Tei,Choi Hung,17 mins
Yau Ma Tei,Kowloon Bay,19 mins
Yau Ma Tei,Ngau Tau Kok,21 mins
Yau Ma Tei,Kwun Tong,23 mins
Yau Ma Tei,Prince Edward,5 mins
Yau Ma Tei,Sham Shui Po,7 mins
Yau Ma Tei,Cheung Sha Wan,9 mins
Yau Ma Tei,Lai Chi Kok,11 mins
Yau Ma Tei,Mei Foo,13 mins
Yau Ma Tei,Lai King,15 mins
Yau Ma Tei,Kwai Fong,18 mins
Yau Ma Tei,Kwai Hing,19 mins
Yau Ma Tei,Tai Wo Hau,22 mins
Yau Ma Tei,Tsuen Wan,23 mins
Yau Ma Tei,Sheung Wan,15 mins
Yau Ma Tei,Wan Chai,12 mins
Yau Ma Tei,Causeway Bay,14 mins
Yau Ma Tei,Tin Hau,16 mins
Yau Ma Tei,Fortress Hill,18 mins
Yau Ma Tei,North Point,20 mins
Yau Ma Tei,Quarry Bay,22 mins
Yau Ma Tei,Tai Koo,24 mins
Yau Ma Tei,Sai Wan Ho,25 mins
Yau Ma Tei,Shau Kei Wan,27 mins
Yau Ma Tei,Heng Fa Chuen,29 mins
Yau Ma Tei,Chai Wan,31 mins
Yau Ma Tei,Lam Tin,25 mins
Yau Ma Tei,Hong Kong,19 mins
Yau Ma Tei,Kowloon,23 mins
Yau Ma Tei,Olympic,22 mins
Yau Ma Tei,Tsing Yi,21 mins
Yau Ma Tei,Tung Chung,35 mins
Yau Ma Tei,Airport,40 mins
Yau Ma Tei,Yau Tong,27 mins
Yau Ma Tei,Tiu Keng Leng,30 mins
Yau Ma Tei,Tseung Kwan O,33 mins
Yau Ma Tei,Hang Hau,36 mins
Yau Ma Tei,Po Lam,38 mins
Yau Ma Tei,Nam Cheong,18 mins
Yau Ma Tei,Sunny Bay,29 mins
Yau Ma Tei,Disneyland Resort,35 mins
Yau Ma Tei,AsiaWorld-Expo,44 mins
Yau Ma Tei,LOHAS Park,39 mins
Yau Ma Tei,Hung Hom,9 mins
Yau Ma Tei,Mong Kok East,16 mins
Yau Ma Tei,Tai Wai,18 mins
Yau Ma Tei,Sha Tin,20 mins
Yau Ma Tei,Fo Tan,23 mins
Yau Ma Tei,Racecourse,28 mins
Yau Ma Tei,University,26 mins
Yau Ma Tei,Tai Po Market,32 mins
Yau Ma Tei,Tai Wo,34 mins
Yau Ma Tei,Fanling,39 mins
Yau Ma Tei,Sheung Shui,41 mins
Yau Ma Tei,Lo Wu,45 mins
Yau Ma Tei,Lok Ma Chau,51 mins
Yau Ma Tei,East Tsim Sha Tsui,12 mins
Yau Ma Tei,Sai Ying Pun,17 mins
Yau Ma Tei,HKU,18 mins
Yau Ma Tei,Kennedy Town,20 mins
Yau Ma Tei,Ho Man Tin,4 mins
Yau Ma Tei,Whampoa,6 mins
Yau Ma Tei,Ocean Park,17 mins
Yau Ma Tei,Wong Chuk Hang,19 mins
Yau Ma Tei,Lei Tung,22 mins
Yau Ma Tei,South Horizons,24 mins
Yau Ma Tei,Hin Keng,20 mins
Yau Ma Tei,Kai Tak,13 mins
Yau Ma Tei,Sung Wong Toi,12 mins
Yau Ma Tei,To Kwa Wan,9 mins
Yau Ma Tei,Exhibition Centre,15 mins
Yau Ma Tei,Che Kung Temple,25 mins
Yau Ma Tei,Sha Tin Wai,26 mins
Yau Ma Tei,City One,29 mins
Yau Ma Tei,Shek Mun,30 mins
Yau Ma Tei,Tai Shui Hang,34 mins
Yau Ma Tei,Heng On,36 mins
Yau Ma Tei,Ma On Shan,38 mins
Yau Ma Tei,Wu Kai Sha,40 mins
Yau Ma Tei,Austin,15 mins
Yau Ma Tei,Tsuen Wan West,25 mins
Yau Ma Tei,Kam Sheung Road,31 mins
Yau Ma Tei,Yuen Long,35 mins
Yau Ma Tei,Long Ping,37 mins
Yau Ma Tei,Tin Shui Wai,40 mins
Yau Ma Tei,Siu Hong,44 mins
Yau Ma Tei,Tuen Mun,47 mins
Yau Ma Tei,Hong Kong West Kowloon,19 mins
