Origin,Destination,Time
Yau Tong,Tiu Keng Leng,4 mins
Yau Tong,Tseung Kwan O,6 mins
Yau Tong,Hang Hau,9 mins
Yau Tong,Po Lam,11 mins
Yau Tong,Nam Cheong,37 mins
Yau Tong,Sunny Bay,49 mins
Yau Tong,Disneyland Resort,56 mins
Yau Tong,AsiaWorld-Expo,58 mins
Yau Tong,LOHAS Park,12 mins
Yau Tong,Hung Hom,29 mins
Yau Tong,Mong Kok East,28 mins
Yau Tong,Tai Wai,25 mins
Yau Tong,Sha Tin,31 mins
Yau Tong,Fo Tan,34 mins
Yau Tong,Racecourse,38 mins
Yau Tong,University,37 mins
Yau Tong,Tai Po Market,42 mins
Yau Tong,Tai Wo,45 mins
Yau Tong,Fanling,49 mins
Yau Tong,Sheung Shui,51 mins
Yau Tong,Lo Wu,56 mins
Yau Tong,Lok Ma Chau,61 mins
Yau Tong,East Tsim Sha Tsui,32 mins
Yau Tong,Sai Ying Pun,25 mins
Yau Tong,HKU,26 mins
Yau Tong,Kennedy Town,28 mins
Yau Tong,Ho Man Tin,27 mins
Yau Tong,Whampoa,32 mins
Yau Tong,Ocean Park,28 mins
Yau Tong,Wong Chuk Hang,30 mins
Yau Tong,Lei Tung,33 mins
Yau Tong,South Horizons,35 mins
Yau Tong,Hin Keng,23 mins
Yau Tong,Kai Tak,21 mins
Yau Tong,Sung Wong Toi,23 mins
Yau Tong,To Kwa Wan,25 mins
Yau Tong,Exhibition Centre,25 mins
Yau Tong,Che Kung Temple,27 mins
Yau Tong,Sha Tin Wai,29 mins
Yau Tong,City One,31 mins
Yau Tong,Shek Mun,33 mins
Yau Tong,Tai Shui Hang,37 mins
Yau Tong,Heng On,39 mins
Yau Tong,Ma On Shan,41 mins
Yau Tong,Wu Kai Sha,43 mins
Yau Tong,Austin,35 mins
Yau Tong,Tsuen Wan West,45 mins
Yau Tong,Kam Sheung Road,51 mins
Yau Tong,Yuen Long,55 mins
Yau Tong,Long Ping,57 mins
Yau Tong,Tin Shui Wai,59 mins
Yau Tong,Siu Hong,64 mins
Yau Tong,Tuen Mun,66 mins
Yau Tong,Hong Kong West Kowloon,39 mins
